"V1","V2","V3","V4","V5","V6","V7"
"Greenland","11","0","0","0","Pending","10"
"","South-East Asia Region","","","","",""
"India","12380","941","414","37","Clusters of cases","0"
"Indonesia","5136","297","469","10","Communitytransmission","0"
"Thailand","2672","29","46","3","Pending","0"
"Bangladesh","1231","219","50","4","Pending","0"
"Sri Lanka","238","5","7","0","Clusters of cases","0"
"Myanmar","85","11","4","0","Clusters of cases","0"
"Maldives","21","1","0","0","Sporadic cases","0"
"Nepal","16","0","0","0","Sporadic cases","2"
"Timor-Leste","6","0","0","0","Sporadic cases","2"
"Bhutan","5","0","0","0","Sporadic cases","13"
"","Eastern Mediterranean Region","","","","",""
"Iran (Islamic Republicof)","76389","1512","4777","94","Communitytransmission","0"
"Pakistan","6505","517","124","17","Clusters of cases","0"
"Saudi Arabia","5862","493","79","6","Clusters of cases","0"
"United Arab Emirates","5365","432","33","5","Pending","0"
"Qatar","3711","283","7","0","Pending","0"
"Egypt","2505","155","183","5","Clusters of cases","0"
"Morocco","2024","136","127","1","Clusters of cases","0"
"Bahrain","1677","149","7","0","Clusters of cases","0"
"Iraq","1415","15","79","1","Clusters of cases","0"
"Kuwait","1405","50","3","0","Clusters of cases","0"
"Oman","1019","109","4","0","Clusters of cases","0"
"Afghanistan","794","24","29","4","Clusters of cases","0"
"Tunisia","780","33","35","1","Communitytransmission","0"
"Lebanon","658","17","21","0","Clusters of cases","0"
"Djibouti","435","72","2","0","Clusters of cases","0"
"Jordan","401","4","7","0","Clusters of cases","0"
"Somalia","80","20","5","3","Sporadic cases","0"
"Libya","48","13","1","0","Clusters of cases","0"
"Syrian Arab Republic","33","4","2","0","Communitytransmission","0"
"Sudan","32","0","5","0","Sporadic cases","1"
"Yemen","1","0","0","0","Pending","5"
"","Territories**","","","","",""
"occupied Palestinianterritory","293","5","2","0","Clusters of cases","0"
"","Region of the Americas","","","","",""
"United States ofAmerica","604070","25802","25871","2395","Communitytransmission","0"
"Canada","27540","1394","954","131","Communitytransmission","0"
"Brazil","25262","1832","1532","204","Communitytransmission","0"
"Peru","10303","2784","230","37","Communitytransmission","0"
