"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Morocco","5053","150","179","5","Clusters of cases","0"
"Bahrain","3533","177","8","0","Clusters of cases","0"
"Oman","2735","167","12","0","Clusters of cases","0"
"Afghanistan","2469","0","72","0","Clusters of cases","3"
"Iraq","2346","127","98","3","Clusters of cases","0"
"Djibouti","1116","4","2","0","Clusters of cases","0"
"Tunisia","1018","9","43","1","Community transmission","0"
"Somalia","756","34","35","3","Sporadic cases","0"
"Lebanon","740","3","25","0","Clusters of cases","0"
"Sudan","678","86","41","0","Sporadic cases","0"
"Jordan","465","4","9","0","Clusters of cases","0"
"Libya","63","0","3","0","Clusters of cases","3"
"Syrian Arab Republic","44","0","3","0","Community transmission","3"
"Yemen","12","2","2","0","Pending","0"
"Territoriesii","","","","","",""
"occupied Palestinian territory","532","179","4","2","Clusters of cases","0"
"Europe","","","","","",""
"Spain","218011","545","25428","164","Community transmission","0"
"Italy","211938","1221","29079","195","Community transmission","0"
"The United Kingdom","190588","3985","28734","288","Community transmission","0"
"Germany","163860","685","6831","139","Community transmission","0"
"Russian Federation","155370","10102","1451","95","Clusters of cases","0"
"France","130242","534","25165","306","Community transmission","0"
"Turkey","127659","1614","3461","64","Community transmission","0"
