"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","Total","","","Total","","Days since last"
"Reporting Country/","","","","Total","","Transmission",""
"Territory/Area  †","confirmed ‡  cases","confirmed new cases 1","","deaths","new deaths1","classification§","reported case"
"Western Pacific Region","","","","","","",""
"China","81116","39","","3231","13","Local transmission","0"
"Republic of Korea","8320","84","","81","6","Local transmission","0"
"Japan","829","15","","28","4","Local transmission","0"
"Malaysia","553","0","","0","0","Local transmission","1"
"Australia","414","78","","5","0","Local transmission","0"
"Singapore","266","23","","0","0","Local transmission","0"
"Philippines","187","45","","12","0","Local transmission","0"
"Viet Nam","61","4","","0","0","Local transmission","0"
"Brunei Darussalam","54","4","","0","0","Local transmission","0"
"Cambodia","24","12","","0","0","Local transmission","0"
"New Zealand","11","5","","0","0","Local transmission","0"
"Mongolia","4","0","","0","0","Imported cases only","1"
"Territories**","","","","","","",""
"French Polynesia","3","0","","0","0","Imported cases only","2"
"Guam","3","3","","0","0","Local transmission","0"
"European Region","","","","","","",""
"Italy","31506","3526","","2503","345","Local transmission","0"
"Spain","11178","1987","","491","182","Local transmission","0"
"France","7652","1079","","175","27","Local transmission","0"
"Germany","7156","1144","","13","0","Local transmission","0"
"Switzerland","2650","450","","14","5","Local transmission","0"
"The United Kingdom","1954","407","","55","5","Local transmission","0"
"Netherlands","1705","292","","43","19","Local transmission","0"
"Belgium","1486","401","","14","9","Local transmission","0"
"Austria","1332","373","","3","2","Local transmission","0"
"Norway","1308","139","","3","0","Local transmission","0"
"Sweden","1167","108","","3","0","Local transmission","0"
"Denmark","977","79","","4","3","Local transmission","0"
"Portugal","448","117","","1","1","Local transmission","0"
"Czechia","434","136","","0","0","Local transmission","0"
"Greece","387","56","","4","0","Local transmission","0"
"Finland","319","47","","0","0","Local transmission","0"
"Israel","304","0","","0","0","Local transmission","1"
"Ireland","292","69","","2","0","Local transmission","0"
"Slovenia","275","22","","1","1","Local transmission","0"
"Poland","246","96","","5","2","Local transmission","0"
"Estonia","225","20","","0","0","Local transmission","0"
"Iceland","225","45","","0","0","Local transmission","0"
"Romania","184","26","","0","0","Local transmission","0"
"Luxembourg","140","59","","1","0","Local transmission","0"
"San Marino","104","2","","11","2","Local transmission","0"
"Slovakia","97","25","","0","0","Local transmission","0"
"Russian Federation","93","0","","0","0","Imported cases only","1"
"Bulgaria","81","14","","2","0","Local transmission","0"
"Serbia††","85","23","","0","0","Local transmission","0"
"Croatia","65","9","","0","0","Local transmission","0"
