"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Belarus","43 403","847","240","5","Community transmission","0"
"Sweden","37 814","272","4 403","8","Community transmission","0"
"Portugal","32 700","200","1 424","14","Community transmission","0"
"Switzerland","30 788","9","1 656","0","Community transmission","0"
"Ireland","25 062","72","1 650","0","Community transmission","0"
"Ukraine","24 340","328","727","9","Community transmission","0"
"Poland","24 165","379","1 074","10","Community transmission","0"
"Romania","19 398","141","1 279","17","Community transmission","0"
"Israel","17 071","0","285","0","Pending","1"
"Austria","16 663","21","668","0","Community transmission","0"
"Denmark","11 699","30","576","2","Community transmission","0"
"Kazakhstan","11 571","263","41","0","Clusters of cases","0"
"Serbia","11 430","18","244","1","Pending","0"
"Armenia","10 009","517","158","19","Community transmission","0"
"Czechia","9 302","29","321","1","Clusters of cases","0"
"Norway","8 411","0","236","0","Clusters of cases","3"
"Republic of Moldova","8 360","109","307","12","Community transmission","0"
"Finland","6 885","26","320","0","Pending","0"
"Azerbaijan","5 662","168","68","5","Clusters of cases","0"
"Luxembourg","4 019","1","110","0","Clusters of cases","0"
"Tajikistan","4 013","83","47","0","Pending","0"
"Hungary","3 921","45","532","6","Community transmission","0"
"Uzbekistan","3 718","56","15","0","Clusters of cases","0"
"Greece","2 917","0","175","0","Clusters of cases","1"
