"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Bulgaria","3 674","132","190","6","Clusters of cases","0"
"Greece","3 227","24","188","1","Clusters of cases","0"
"Bosnia and Herzegovina","3 202","58","167","0","Community transmission","0"
"Kyrgyzstan","2 789","132","32","1","Clusters of cases","0"
"Croatia","2 269","11","107","0","Sporadic cases","0"
"Estonia","1 977","0","69","0","Clusters of cases","1"
"Albania","1 838","50","42","3","Clusters of cases","0"
"Iceland","1 816","1","10","0","Community transmission","0"
"Lithuania","1 784","6","76","0","Community transmission","0"
"Slovakia","1 562","1","28","0","Clusters of cases","0"
"Slovenia","1 511","8","109","0","Clusters of cases","0"
"Latvia","1 108","4","30","0","Sporadic cases","0"
"Cyprus","985","0","19","1","Clusters of cases","3"
"Georgia","895","2","14","0","Community transmission","0"
"Andorra","855","1","52","0","Community transmission","0"
"San Marino","709","0","42","0","Community transmission","1"
"Malta","663","1","9","0","Sporadic cases","0"
"Montenegro","337","4","9","0","Clusters of cases","0"
"Monaco","99","0","1","0","Sporadic cases","12"
"Liechtenstein","83","0","1","0","Pending","54"
"Holy See","12","0","0","0","Sporadic cases","43"
"Territories ii","","","","","",""
"Kosovo[1]","","","","","",""
"","1 873","83","24","0","Community transmission","0"
