"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Africa","","","","","",""
"South Africa","7808","369","153","5","Community transmission","0"
"Algeria","4997","159","476","6","Community transmission","0"
"Nigeria","3145","195","103","5","Community transmission","0"
"Ghana","2719","0","18","0","Clusters of cases","2"
"Cameroon","2265","0","108","0","Clusters of cases","1"
"Guinea","1856","45","11","1","Community transmission","0"
"Côte d’Ivoire","1516","52","18","0","Clusters of cases","0"
"Senegal","1433","104","12","1","Clusters of cases","0"
"Democratic Republic of the","","","","","",""
"Congo","797","92","35","1","Clusters of cases","0"
"Niger","770","7","38","0","Clusters of cases","0"
"Burkina Faso","729","40","48","0","Community transmission","0"
"Mali","631","19","32","0","Clusters of cases","0"
"Kenya","582","47","26","0","Clusters of cases","0"
"Guinea-Bissau","508","216","2","0","Sporadic cases","0"
"United Republic of Tanzania","480","0","18","0","Clusters of cases","7"
"Equatorial Guinea","439","0","4","0","Clusters of cases","1"
"Gabon","397","0","6","0","Clusters of cases","1"
"Mauritius","332","0","10","0","Community transmission","10"
"Rwanda","268","7","0","0","Clusters of cases","0"
"Congo","264","28","10","0","Clusters of cases","0"
"Madagascar","193","35","0","0","Clusters of cases","0"
