"V1","V2","V3"
"WHO Regional Office","Country/Territory/Area","Confirmed Cases"
"","China*","4537"
"","Japan","6"
"Western Pacific","Republic of Korea","4"
"","",""
"","Viet Nam","2"
"","",""
"","Singapore","7"
"","",""
"","Australia","5"
"","Malaysia","4"
"","Cambodia","1"
"","Thailand","14"
"South-East Asia","Nepal","1"
"","Sri Lanka","1"
"Region of the Americas","United States of America","5"
"","Canada","2"
"","France","3"
"European Region","",""
"","Germany","1"
"Total Confirmed cases","Total","4593"
