"V1","V2","V3","V4","V5","V6","V7"
"Andorra","1","0","0","0","Imported cases only","5"
"Armenia","1","0","0","0","Imported cases only","6"
"Holy See","1","0","0","0","Under investigation","2"
"Latvia","1","0","0","0","Imported cases only","5"
"Liechtenstein","1","0","0","0","Imported cases only","2"
"Lithuania","1","0","0","0","Imported cases only","9"
"Monaco","1","0","0","0","Under investigation","7"
"Republic of Moldova","1","1","0","0","Imported cases only","0"
"Serbia","1","0","0","0","Under investigation","2"
"Ukraine","1","0","0","0","Imported cases only","4"
"","erritories**","","","","",""
"Faroe Islands","1","0","0","0","Imported cases only","2"
"Gibraltar","1","0","0","0","Under investigation","4"
"","outh-East Asia Region","","","","",""
"Thailand","50","2","1","0","Local transmission","0"
"India","34","3","0","0","Local transmission","0"
"Indonesia","4","0","0","0","Local transmission","1"
"Maldives","2","2","0","0","Local transmission","0"
"Bhutan","1","0","0","0","Imported cases only","2"
"Nepal","1","0","0","0","Imported cases only","44"
"Sri Lanka","1","0","0","0","Imported cases only","41"
"","astern Mediterranean Region","","","","",""
"Iran (IslamicRepublic of)","5823","1076","145","21","Local transmission","0"
"Kuwait","62","4","0","0","Imported cases only","0"
"Bahrain","56","7","0","0","Imported cases only","0"
"Iraq","54","10","4","0","Imported cases only","0"
"Egypt","48","45","0","0","Local transmission††","0"
"United ArabEmirates","45","0","0","0","Local transmission","1"
"Lebanon","28","6","0","0","Local transmission","0"
"Oman","16","0","0","0","Imported cases only","2"
"Qatar","12","1","0","0","Imported cases only","0"
"Saudi Arabia","7","2","0","0","Imported cases only","0"
"Pakistan","5","0","0","0","Imported cases only","5"
"Afghanistan","4","3","0","0","Imported cases only","0"
"Morocco","2","0","0","0","Imported cases only","3"
"Jordan","1","0","0","0","Imported cases only","5"
"Tunisia","1","0","0","0","Imported cases only","5"
"","erritories**","","","","",""
"OccupiedPalestinian Territory","16","0","0","0","Local transmission","1"
"","egion of the Americas","","","","",""
"United States ofAmerica","213","0","11","0","Local transmission","1"
"Canada","57","6","0","0","Local transmission","0"
"Brazil","19","6","0","0","Local transmission","0"
"Ecuador","14","0","0","0","Local transmission","1"
"Argentina","9","7","1","1","Imported cases only","0"
"Mexico","7","2","0","0","Imported cases only","0"
"Peru","6","0","0","0","Local transmission","1"
"Chile","5","0","0","0","Imported cases only","1"
"Costa Rica","5","5","0","0","Imported cases only","0"
