"V1","V2","V3","V4","V5","V6","V7"
"","astern Mediterranean Region","","","","",""
"Iran (Islamic Republicof)","38309","2901","2640","123","Local transmission","0"
"Pakistan","1625","99","18","5","Local transmission","0"
"Saudi Arabia","1299","96","8","4","Local transmission","0"
"Qatar","634","44","2","1","Local transmission","0"
"Egypt","609","33","40","4","Local transmission","0"
"United Arab Emirates","570","102","3","1","Local transmission","0"
"Iraq","547","41","42","0","Local transmission","0"
"Morocco","516","79","27","1","Local transmission","0"
"Bahrain","515","39","4","0","Local transmission","0"
"Lebanon","438","26","10","2","Local transmission","0"
"Tunisia","312","34","8","0","Local transmission","0"
"Jordan","259","13","3","2","Local transmission","0"
"Kuwait","255","20","0","0","Local transmission","0"
"Oman","167","0","0","0","Local transmission","1"
"Afghanistan","114","0","4","0","Local transmission","1"
"Djibouti","19","4","0","0","Local transmission","0"
"Syrian Arab Republic","9","4","1","1","Imported cases only","0"
"Libya","8","5","0","0","Local transmission","0"
"Sudan","6","1","2","1","Imported cases only","0"
"Somalia","3","0","0","0","Imported cases only","3"
"","erritories**","","","","",""
"occupied Palestinianterritory","115","11","1","0","Local transmission","0"
"","egion of the Americas","","","","",""
"United States ofAmerica","122653","19332","2112","444","Local transmission","0"
"Canada","5655","898","61","6","Local transmission","0"
"Brazil","3904","487","114","22","Local transmission","0"
"Chile","1909","0","6","0","Local transmission","1"
"Ecuador","1835","12","48","0","Local transmission","0"
"Panama","901","115","17","3","Local transmission","0"
"Mexico","848","131","16","4","Local transmission","0"
"Argentina","745","55","19","2","Local transmission","0"
"Peru","671","36","11","0","Local transmission","0"
"Colombia","608","69","6","0","Local transmission","0"
"Dominican Republic","581","0","20","0","Local transmission","2"
"Uruguay","303","29","0","0","Local transmission","0"
"Costa Rica","295","32","2","0","Local transmission","0"
"Cuba","119","0","3","0","Local transmission","1"
"Venezuela (BolivarianRepublic of)","113","0","2","0","Local transmission","1"
"Honduras","110","43","2","1","Local transmission","0"
"Trinidad and Tobago","76","2","3","1","Local transmission","0"
"Bolivia (PlurinationalState of)","74","0","0","0","Local transmission","1"
"Paraguay","59","3","3","0","Local transmission","0"
"Guatemala","34","2","1","0","Local transmission","0"
"Jamaica","32","2","1","0","Local transmission","0"
"Barbados","26","2","0","0","Local transmission","0"
"El Salvador","24","5","0","0","Local transmission","0"
"Haiti","15","7","0","0","Imported cases only","0"
"Dominica","11","0","0","0","Local transmission","3"
