"V1","V2","V3","V4","V5","V6","V7","V8"
"WHO Region","AFR","AMR/ PAH","EMR","EUR","SEAR","WPR","Total"
"6 February","-","10","-","2","1","9","22"
"12 February","1","2","1","1","-","3","8"
"21 February","-","-","-","2","-","2","4"
"","","","1*","5 (3*)","","1*",""
"28 February","-","-","","","-","","7"
"","","","1* update","1* update","","6* updates",""
"","","1*","","","","-",""
"5 March","-","","1*","2*","-","","4"
"","","5* updates","","","","8* updates",""
"","","","","5","","",""
"12 March","-","1","-","","-","","6"
"","","","","3 updates","","3 updates",""
"","","11","1","18","","2",""
"19 March","-","","","","6","","38"
"","","12 updates","1 update","19 updates","","4 updates",""
"","22","6","","6","4","8",""
"26 March","","","1","","","","47"
"","1 update","17 updates","","20 updates","8 updates","12 updates",""
"","6","","9","5","-","-",""
"3 April","","2","","","","","22"
"","2 updates","","2 updates","15 updates","5 updates","2 updates",""
"","","","3","4","-","2",""
"9 April","-","-","","","","","9"
"","","","3 updates","17 updates","3 updates","2 updates",""
"Total","29","33","17","50","11","27","167"
