"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Niger","980","2","66","1","Community transmission","0"
"Burkina Faso","894","2","53","0","Community transmission","0"
"Chad","850","2","73","1","Community transmission","0"
"Uganda","823","0","0","0","Sporadic cases","1"
"Congo","779","0","25","0","Community transmission","1"
"Cabo Verde","750","24","6","0","Clusters of cases","0"
"Mozambique","583","30","2","0","Clusters of cases","0"
"Rwanda","582","41","2","0","Sporadic cases","0"
"Malawi","547","18","6","1","Clusters of cases","0"
"Togo","530","5","13","0","Community transmission","0"
"United Republic of Tanzania","509","0","21","0","Community transmission","38"
"Eswatini","490","4","4","1","Clusters of cases","0"
"Benin","470","58","7","1","Community transmission","0"
"Liberia","458","12","32","0","Community transmission","0"
"Sao Tome and Principe","388","0","10","0","Clusters of cases","4"
"Zimbabwe","383","27","4","0","Sporadic cases","0"
"Mauritius","337","0","10","0","Clusters of cases","9"
"Comoros","176","0","2","0","Community transmission","1"
"Angola","140","2","6","0","Clusters of cases","0"
"Eritrea","96","31","0","0","Sporadic cases","0"
"Burundi","94","0","1","0","Clusters of cases","3"
"Botswana","60","0","1","0","Clusters of cases","2"
"Namibia","32","0","0","0","Sporadic cases","1"
