"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Belgium","50 509","242","8016","92","Community transmission","0"
"Netherlands","41 087","317","5168","86","Community transmission","0"
"Switzerland","29 926","28","1482","6","Community transmission","0"
"Portugal","25 702","178","1074","11","Community transmission","0"
"Sweden","23 216","495","2854","85","Community transmission","0"
"Ireland","21 983","261","1339","20","Community transmission","0"
"Belarus","19 255","1766","112","9","Clusters of cases","0"
"Israel","16 268","31","237","3","Pending","0"
"Austria","15 586","17","606","6","Community transmission","0"
"Poland","14 431","425","716","18","Community transmission","0"
"Romania","13 837","325","827","24","Community transmission","0"
"Ukraine","13 184","487","327","11","Community transmission","0"
"Denmark","9821","151","503","10","Pending","0"
"Serbia","9677","120","200","3","Pending","0"
"Norway","7903","56","209","1","Pending","0"
"Czechia","7896","77","257","5","Community transmission","0"
"Finland","5412","85","246","6","Pending","0"
"Republic of Moldova","4363","115","140","7","Pending","0"
"Kazakhstan","4298","138","29","0","Pending","0"
"Luxembourg","3840","12","96","0","Pending","0"
"Hungary","3111","46","373","10","Clusters of cases","0"
"Armenia","2782","163","40","0","Clusters of cases","0"
"Greece","2642","10","146","0","Community transmission","0"
"Uzbekistan","2217","28","10","0","Clusters of cases","0"
