"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","115","0","7","","0","Clusters of cases","1"
"Aruba","100","0","2","","0","Clusters of cases","12"
"Sint Maarten","76","0","13","","0","Clusters of cases","4"
"Cayman Islands","74","0","1","","0","Clusters of cases","2"
"United States Virgin Islands","66","0","4","","0","Clusters of cases","4"
"Saint Martin","38","0","3","","0","Sporadic cases","12"
"Curaçao","16","0","1","","0","Sporadic cases","7"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","9"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","7"
"Montserrat","11","0","1","","0","Sporadic cases","21"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","7"
"British Virgin Islands","6","0","1","","0","Sporadic cases","9"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","35"
"Anguilla","3","0","0","","0","Sporadic cases","31"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","27"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","98647","1223","6277","","74","Community transmission","0"
"Saudi Arabia","28656","1645","191","","7","Clusters of cases","0"
"Pakistan","21501","1417","486","","29","Clusters of cases","0"
"Qatar","16191","640","12","","0","Community transmission","0"
"United Arab Emirates","14730","567","137","","11","Pending","0"
"Egypt","6813","348","436","","7","Clusters of cases","0"
"Kuwait","5278","295","40","","2","Clusters of cases","0"
