"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Africa","","","","","",""
"South Africa","7439","219","148","10","Community transmission","0"
"Algeria","4838","190","470","5","Community transmission","0"
"Nigeria","2950","148","98","5","Community transmission","0"
"Ghana","2719","0","18","0","Clusters of cases","1"
"Cameroon","2265","188","108","44","Clusters of cases","0"
"Guinea","1811","101","10","1","Community transmission","0"
"Côte d’Ivoire","1464","32","18","1","Clusters of cases","0"
"Senegal","1329","58","11","1","Clusters of cases","0"
"Niger","763","8","38","1","Clusters of cases","0"
"Democratic Republic of the","","","","","",""
"Congo","705","23","34","0","Clusters of cases","0"
"Burkina Faso","689","17","48","2","Community transmission","0"
"Mali","612","32","32","3","Clusters of cases","0"
"Kenya","535","45","23","-1","Clusters of cases","0"
"United Republic of Tanzania","480","0","18","0","Clusters of cases","6"
"Equatorial Guinea","439","124","4","2","Clusters of cases","0"
"Gabon","397","30","6","0","Clusters of cases","0"
"Mauritius","332","0","10","0","Community transmission","9"
"Guinea-Bissau","292","0","2","0","Sporadic cases","2"
"Rwanda","261","0","0","0","Clusters of cases","1"
"Congo","236","0","10","0","Clusters of cases","1"
"Sierra Leone","199","21","11","2","Clusters of cases","0"
