"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Jersey","313","0","30","0","Community transmission","3"
"Guernsey","252","0","13","0","Community transmission","41"
"Faroe Islands","187","0","0","0","Pending","50"
"Gibraltar","176","0","0","0","Clusters of cases","4"
"Greenland","13","0","0","0","Pending","15"
"South-East Asia","","","","","",""
"India","308 993","11 458","8 884","386","Clusters of cases","0"
"Bangladesh","81 523","3 471","1 095","46","Community transmission","0"
"Indonesia","36 406","1 111","2 048","48","Community transmission","0"
"Nepal","5 062","448","16","1","Sporadic cases","0"
"Thailand","3 134","5","58","0","Clusters of cases","0"
"Maldives","2 003","27","8","0","Clusters of cases","0"
"Sri Lanka","1 880","3","11","0","Clusters of cases","0"
"Myanmar","261","0","6","0","Clusters of cases","1"
"Bhutan","62","0","0","0","Sporadic cases","2"
"Timor-Leste","24","0","0","0","Clusters of cases","50"
"Western Pacific","","","","","",""
"China","84 671","12","4 645","0","Clusters of cases","0"
"Singapore","39 850","463","25","0","Clusters of cases","0"
"Philippines","24 787","612","1 052","16","Community transmission","0"
"Japan","17 382","50","924","2","Clusters of cases","0"
"Republic of Korea","12 051","48","277","0","Clusters of cases","0"
"Malaysia","8 402","33","119","1","Clusters of cases","0"
