"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Morocco","4903","174","174","1","Clusters of cases","0"
"Bahrain","3356","72","8","0","Clusters of cases","0"
"Oman","2568","0","12","0","Clusters of cases","1"
"Afghanistan","2469","0","72","0","Clusters of cases","2"
"Iraq","2219","0","95","0","Clusters of cases","1"
"Djibouti","1112","0","2","0","Clusters of cases","1"
"Tunisia","1009","0","42","0","Community transmission","1"
"Lebanon","737","4","25","0","Clusters of cases","0"
"Somalia","722","51","32","1","Sporadic cases","0"
"Sudan","592","0","41","0","Sporadic cases","1"
"Jordan","461","1","9","0","Clusters of cases","0"
"Libya","63","0","3","0","Clusters of cases","2"
"Syrian Arab Republic","44","0","3","0","Community transmission","2"
"Yemen","10","0","2","0","Pending","1"
"Territoriesii","","","","","",""
"occupied Palestinian territory","353","0","2","0","Clusters of cases","2"
"Europe","","","","","",""
"Spain","217466","884","25264","164","Community transmission","0"
"Italy","210717","1389","28884","174","Community transmission","0"
"The United Kingdom","186603","4339","28446","315","Community transmission","0"
"Germany","163175","679","6692","43","Community transmission","0"
"Russian Federation","145268","10581","1356","76","Clusters of cases","0"
"France","129708","250","24859","135","Community transmission","0"
"Turkey","126045","1670","3397","61","Community transmission","0"
