"V1","V2","V3","V4","V5","V6","V7"
"Belarus 12","","0","0","0","Local transmission","1"
"Azerbaijan 11","","2","0","0","Imported cases only","0"
"Malta 9","","3","0","0","Imported cases only","0"
"Bulgaria 7","","0","1","0","Local transmission","1"
"North Macedonia 7","","0","0","0","Local transmission","3"
"Cyprus 6","","0","0","0","Imported cases only","1"
"Bosnia and","","","","","",""
"Herzegovina 4","","0","0","0","Local transmission","2"
"Liechtenstein 4","","3","0","0","Imported cases only","0"
"Republic of Moldova 4","","0","0","0","Imported cases only","1"
"Lithuania 3","","0","0","0","Imported cases only","1"
"Ukraine 3","","2","0","0","Imported cases only","0"
"Andorra 1","","0","0","0","Imported cases only","10"
"Armenia 1","","0","0","0","Imported cases only","11"
"Holy See 1","","0","0","0","Under investigation","7"
"Monaco 1","","0","0","0","Under investigation","12"
"Turkey 1","","0","0","0","Imported cases only","1"
"Territories**","","","","","",""
"Faroe Islands 2","","0","0","0","Imported cases only","4"
"Gibraltar 1","","0","0","0","Under investigation","9"
"Guernsey 1","","0","0","0","Imported cases only","3"
"Jersey 2","","2","0","0","Imported cases only","0"
"South-East Asia Region","","","","","",""
"Thailand 75","","5","1","0","Local transmission","0"
"India 74","","1","1","1","Local transmission","0"
"Indonesia 34","","0","1","0","Local transmission","1"
"Maldives 8","","0","0","0","Local transmission","2"
"Bangladesh 3","","0","0","0","Local transmission","4"
"Sri Lanka 3","","1","0","0","Imported cases only","0"
"Bhutan 1","","0","0","0","Imported cases only","7"
"Nepal 1","","0","0","0","Imported cases only","49"
"Territories**","","","","","",""
"Réunion 3","","3","0","0","Imported cases only","0"
"Eastern Mediterranean Region","","","","","",""
"Iran (Islamic Republic","","","","","",""
"of) 10075","","1075","429","75","Local transmission","0"
"Qatar 262","","0","0","0","Imported cases only","1"
"Bahrain 195","","6","0","0","Local transmission","0"
"United Arab Emirates 85","","11","0","0","Local transmission","0"
"Kuwait 80","","0","0","0","Imported cases only","1"
"Iraq 70","","0","7","0","Local transmission","1"
"Egypt 67","","0","1","0","Local transmission","1"
"Lebanon 66","","0","3","0","Local transmission","1"
"Saudi Arabia 21","","0","0","0","Imported cases only","1"
"Pakistan 20","","1","0","0","Local transmission","0"
"Oman 18","","0","0","0","Imported cases only","3"
"Afghanistan 7","","0","0","0","Imported cases only","1"
"Tunisia 7","","1","0","0","Imported cases only","0"
"Morocco 6","","1","1","0","Imported cases only","0"
"Jordan 1","","0","0","0","Imported cases only","10"
"Territories**","","","","","",""
"occupied Palestinian","","","","","",""
"territory 31","","1","0","0","Local transmission","0"
