"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Comoros","8","0","1","","0","Pending","1"
"Mauritania","8","0","1","","0","Sporadic cases","7"
"Territoriesii","","","","","","",""
"Mayotte","854","115","10","","1","Clusters of cases","0"
"Réunion","427","2","0","","0","Clusters of cases","0"
"Americas","","","","","","",""
"United States of America","1 215 571","22 119","67 146","","1949","Community transmission","0"
"Brazil","125 218","10 503","8536","","615","Community transmission","0"
"Canada","63 895","1437","4280","","169","Community transmission","0"
"Peru","54 817","3628","1533","","89","Community transmission","0"
"Ecuador","30 298","878","1654","","36","Community transmission","0"
"Mexico","27 634","1609","2704","","197","Community transmission","0"
"Chile","24 581","1533","285","","4","Community transmission","0"
"Dominican Republic","9095","288","373","","11","Community transmission","0"
"Colombia","8959","346","397","","19","Community transmission","0"
"Panama","7731","208","218","","8","Community transmission","0"
"Argentina","5305","229","275","","11","Community transmission","0"
"Bolivia (Plurinational State of)","1886","84","91","","5","Clusters of cases","0"
"Cuba","1729","26","73","","4","Clusters of cases","0"
"Honduras","1461","191","99","","6","Community transmission","0"
"Guatemala","798","35","21","","2","Clusters of cases","0"
"Costa Rica","761","6","6","","0","Clusters of cases","0"
"El Salvador","695","62","15","","1","Clusters of cases","0"
"Uruguay","673","3","17","","0","Clusters of cases","0"
