"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Paraguay","786","8","11","0","Community transmission","0"
"Uruguay","734","2","19","0","Clusters of cases","0"
"Venezuela (Bolivarian Republic of)","541","37","10","0","Clusters of cases","0"
"Jamaica","517","6","9","0","Clusters of cases","0"
"Haiti","358","48","20","0","Clusters of cases","0"
"Guyana","117","1","10","0","Clusters of cases","0"
"Trinidad and Tobago","116","0","8","0","Sporadic cases","20"
"Bahamas","96","0","11","0","Clusters of cases","2"
"Barbados","86","1","7","0","Clusters of cases","0"
"Antigua and Barbuda","25","0","3","0","Clusters of cases","14"
"Nicaragua","25","0","8","0","Clusters of cases","4"
"Grenada","22","0","0","0","Clusters of cases","2"
"Belize","18","0","2","0","Sporadic cases","33"
"Saint Lucia","18","0","0","0","Sporadic cases","13"
"Saint Vincent and the Grenadines","17","0","0","0","Sporadic cases","13"
"Dominica","16","0","0","0","Clusters of cases","37"
"Saint Kitts and Nevis","15","0","0","0","Sporadic cases","27"
"Suriname","10","0","1","0","Sporadic cases","44"
"Territoriesii","","","","","",""
"Puerto Rico","2 646","57","123","1","Clusters of cases","0"
"French Guiana","197","8","1","0","Clusters of cases","0"
"Martinique","192","0","14","0","Clusters of cases","1"
"Guadeloupe","155","0","13","0","Clusters of cases","5"
"Bermuda","123","0","9","0","Clusters of cases","1"
