"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Jersey","316","3","30","0","Community transmission","0"
"Guernsey","252","0","13","0","Community transmission","45"
"Faroe Islands","187","0","0","0","Pending","54"
"Gibraltar","176","0","0","0","Clusters of cases","8"
"Greenland","13","0","0","0","Pending","19"
"South-East Asia","","","","","",""
"India","354 065","10 974","11 903","2 003","Clusters of cases","0"
"Bangladesh","94 481","3 862","1 262","53","Community transmission","0"
"Indonesia","40 400","1 106","2 231","33","Community transmission","0"
"Nepal","6 591","380","19","0","Sporadic cases","0"
"Thailand","3 135","0","58","0","Clusters of cases","3"
"Maldives","2 094","29","8","0","Clusters of cases","0"
"Sri Lanka","1 915","10","11","0","Clusters of cases","0"
"Myanmar","262","0","6","0","Clusters of cases","2"
"Bhutan","67","0","0","0","Sporadic cases","1"
"Timor-Leste","24","0","0","0","Clusters of cases","54"
"Western Pacific","","","","","",""
"China","84 867","44","4 645","0","Clusters of cases","0"
"Singapore","40 969","151","26","0","Clusters of cases","0"
"Philippines","26 781","361","1 103","5","Community transmission","0"
"Japan","17 628","41","931","4","Clusters of cases","0"
"Republic of Korea","12 198","43","279","1","Clusters of cases","0"
"Malaysia","8 505","11","121","0","Clusters of cases","0"
