"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Iraq","25 717","1 463","856","83","Clusters of cases","0"
"Bahrain","20 430","469","55","6","Clusters of cases","0"
"Morocco","9 074","77","213","0","Clusters of cases","0"
"Sudan","8 020","0","487","0","Community transmission","1"
"Djibouti","4 557","12","43","0","Clusters of cases","0"
"Somalia","2 719","23","88","0","Sporadic cases","0"
"Lebanon","1 495","6","32","0","Clusters of cases","0"
"Tunisia","1 132","4","50","0","Community transmission","0"
"Jordan","1 001","14","9","0","Clusters of cases","0"
"Yemen","913","7","249","4","Pending","0"
"Libya","510","28","10","0","Clusters of cases","0"
"Syrian Arab Republic","187","9","7","0","Community transmission","0"
"Territories ii","","","","","",""
"occupied Palestinian territory","795","50","5","0","Clusters of cases","0"
"Europe","","","","","",""
"Russian Federation","569 063","7 972","7 841","181","Clusters of cases","0"
"The United Kingdom","300 473","1 218","42 288","135","Community transmission","0"
"Spain","245 268","585","27 136","0","Community transmission","0"
"Italy","238 159","331","34 514","66","Community transmission","0"
"Germany","187 764","0","8 856","0","Clusters of cases","1"
"Turkey","184 031","1 304","4 882","21","Community transmission","0"
"France","153 557","201","29 537","28","Community transmission","0"
"Belgium","60 348","104","9 683","8","Community transmission","0"
"Belarus","56 657","625","331","7","Community transmission","0"
