"V1","V2","V3","V4","V5","V6","V7"
"Uganda","55","0","0","0","Sporadic cases","5"
"Benin","54","17","1","0","Sporadic cases","0"
"Guinea-Bissau","50","0","0","0","Sporadic cases","3"
"Sierra Leone","43","8","0","0","Clusters of cases","0"
"Eritrea","39","0","0","0","Sporadic cases","2"
"Mozambique","35","0","0","0","Sporadic cases","1"
"Chad","33","0","0","0","Sporadic cases","3"
"Zimbabwe","25","0","3","0","Sporadic cases","2"
"Angola","24","5","2","0","Sporadic cases","0"
"Eswatini","24","2","1","0","Sporadic cases","0"
"Botswana","20","0","1","0","Sporadic cases","1"
"Malawi","17","0","2","0","Sporadic cases","3"
"Namibia","16","0","0","0","Sporadic cases","15"
"Central African","12","0","0","0","Sporadic cases","4"
"Republic","","","","","",""
"Seychelles","11","0","0","0","Sporadic cases","14"
"Gambia","10","1","1","0","Sporadic cases","0"
"Mauritania","7","0","1","0","Sporadic cases","10"
"Burundi","6","0","1","0","Sporadic cases","1"
"São Tomé and","4","0","0","0","Sporadic cases","14"
"Príncipe","","","","","",""
"South Sudan","4","0","0","0","Sporadic cases","9"
"Territories**","","","","","",""
"Réunion","408","0","0","0","Clusters of cases","1"
"Mayotte","284","0","4","0","Clusters of cases","1"
"Subtotal for all","","","","","",""
"","2 396505","83007","162943","5109","",""
"Regions","","","","","",""
"International","","","","","",""
"conveyance (Diamond","712","0","13","0","Not Applicable††","36"
"Princess)","","","","","",""
"Grand total","2 397217","83007","162956","5109","",""
