"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Philippines","10 610","147","704","8","Clusters of cases","0"
"Australia","6929","15","97","0","Clusters of cases","0"
"Malaysia","6589","54","108","1","Clusters of cases","0"
"New Zealand","1144","2","21","0","Clusters of cases","0"
"Viet Nam","288","0","0","0","Clusters of cases","2"
"Brunei Darussalam","141","0","1","0","Sporadic cases","2"
"Cambodia","122","0","0","0","Sporadic cases","28"
"Mongolia","42","0","0","0","Sporadic cases","1"
"Lao People's Democratic","","","","","",""
"Republic","19","0","0","0","Sporadic cases","27"
"Fiji","18","0","0","0","Sporadic cases","19"
"Papua New Guinea","8","0","0","0","Sporadic cases","17"
"Territoriesii","","","","","",""
"Guam","147","0","5","0","Clusters of cases","3"
"French Polynesia","60","0","0","0","Sporadic cases","4"
"New Caledonia","18","0","0","0","Sporadic cases","37"
"Northern Mariana Islands","","","","","",""
"(Commonwealth of the)","16","1","2","0","Pending","0"
"Subtotal for all regions","3 916 654","61 578","274 348","8499","",""
"Other*","712","0","13","0","-","54"
"Grand total","","","","","",""
"","3 917 366","61 578","274 361","8499","",""
