"V1","V2","V3","V4","V5","V6"
"Province/","","","In last 24 hours","","Cumulative"
"","Population","","","",""
"Region/","","","","",""
"","(10,000s)","Confirmed","Suspected","","Confirmed"
"City","","","","Deaths","Deaths"
"","","cas es","cases","","cases"
"Hubei","5917","41","42","27","67707 2986"
"Guangdong","11346","0","0","0","1352 7"
"Henan","9605","0","0","0","1272 22"
"Zhejiang","5737","0","0","0","1215 1"
"Hunan","6899","0","0","0","1018 4"
"Anhui","6324","0","0","0","990 6"
"Jiangxi","4648","0","0","0","935 1"
"Shandong","10047","0","0","0","758 6"
"Jiangsu","8051","0","0","0","631 0"
"Chongqing","3102","0","0","0","576 6"
"Sichuan","8341","0","1","0","539 3"
"Heilongjiang","3773","0","0","0","481 13"
"Beijing","2154","2","3","0","428 8"
"Shanghai","2424","0","25","0","342 3"
"Hebei","7556","0","0","0","318 6"
"Fujian","3941","0","0","0","296 1"
"Guangxi","4926","0","0","0","252 2"
"Shaanxi","3864","0","0","0","245 1"
"Yunnan","4830","0","1","0","174 2"
"Hainan","934","0","0","0","168 6"
"Guizhou","3600","0","0","0","146 2"
"Tianjin","1560","0","9","0","136 3"
"Shanxi","3718","0","0","0","133 0"
"Liaoning","4359","0","3","0","125 1"
"Gansu","2637","1","0","0","120 2"
"Hong Kong SAR","745","2","0","0","109 2"
"Jilin","2704","0","0","0","93 1"
"Xinjiang","2487","0","0","0","76 3"
"Inner Mongolia","2534","0","0","0","75 1"
"Ningxia","688","0","0","0","75 0"
"Taipei and environs","2359","0","0","0","45 1"
"Qinghai","603","0","0","0","18 0"
"Macao SAR","66","0","0","0","10 0"
"Xizang","344","0","0","0","1 0"
"Total","142823","46","84","27","80859 3100"
