"V1","V2"
"Cumulative Province/  Daily",""
"Population",""
"Region/",""
"(10,000s)",""
"Confirmed Suspected","Confirmed"
"City cases cases","Deaths cases Deaths"
"",""
"Hubei 5917 630 631","96 64084 2346"
"Guangdong 11346 3 0","1 1342 6"
"Henan 9605 1 12","0 1271 19"
"Zhejiang 5737 0 2","0 1205 1"
"Hunan 6899 3 0","0 1016 4"
"Anhui 6324 0 0","0 989 6"
"Jiangxi 4648 0 0","0 934 1"
"Shandong 10047 4 2","0 754 4"
"Jiangsu 8051 0 0","0 631 0"
"Chongqing 3102 1 21","0 573 6"
"Sichuan 8341 0 15","0 526 3"
"Heilongjiang 3773 1 0","0 480 12"
"Beijing 2154 0 35","0 399 4"
"Shanghai 2424 1 52","0 335 3"
"Hebei 7556 2 0","0 311 6"
"Fujian 3941 0 0","0 293 1"
"Guangxi 4926 0 12","0 249 2"
"Shaanxi 3864 0 2","0 245 1"
"Yunnan 4830 0 11","0 174 2"
"Hainan 934 0 14","0 168 4"
"Guizhou 3600 0 0","0 146 2"
"Tianjin 1560 2 51","0 135 3"
"Shanxi 3718 0 1","0 132 0"
"Liaoning 4359 0 13","0 121 1"
"Jilin 2704 0 7","0 91 1"
"Gansu 2637 0 0","0 91 2"
"Xinjiang 2487 0 0","0 76 2"
"Inner Mongolia 2534 0 0","0 75 0"
"Ningxia 688 0 1","0 71 0"
"Hong Kong SAR 745 2 0","0 70 2"
"Taipei and environs 2359 0 0","0 26 1"
"Qinghai 603 0 0","0 18 0"
"Macao SAR 66 0 0","0 10 0"
"Xizang 344 0 0","0 1 0"
"Total 142823 650 882","97 77042 2445"
