"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Morocco","5219","166","181","2","Clusters of cases","0"
"Bahrain","3720","187","8","0","Clusters of cases","0"
"Afghanistan","3224","755","95","23","Clusters of cases","0"
"Oman","2903","168","13","1","Clusters of cases","0"
"Iraq","2431","85","102","4","Clusters of cases","0"
"Djibouti","1120","4","2","0","Clusters of cases","0"
"Tunisia","1022","4","43","0","Community transmission","0"
"Somalia","835","79","38","3","Sporadic cases","0"
"Sudan","778","100","45","4","Sporadic cases","0"
"Lebanon","741","1","25","0","Clusters of cases","0"
"Jordan","471","6","9","0","Clusters of cases","0"
"Libya","63","0","3","0","Clusters of cases","4"
"Syrian Arab Republic","44","0","3","0","Community transmission","4"
"Yemen","23","11","3","1","Pending","0"
"Territoriesii","","","","","",""
"occupied Palestinian territory","543","11","4","0","Clusters of cases","0"
"Europe","","","","","",""
"Spain","219 329","1318","25 613","185","Community transmission","0"
"Italy","213 013","1075","29 315","236","Community transmission","0"
"The United Kingdom","194 994","4406","29 427","693","Community transmission","0"
"Russian Federation","165 929","10 559","1537","86","Clusters of cases","0"
"Germany","164 897","1037","6996","165","Community transmission","0"
"France","131 292","1050","25491","326","Community transmission","0"
"Turkey","129 491","1832","3520","59","Community transmission","0"
