"V1","V2","V3","V4","V5","V6","V7"
"","Total","Total","","Total","","Days since"
"","","","Total","","Transmission",""
"Reporting Country","confirmed*","confirmed","","new","","last reported"
"","","","deaths","","classification†",""
"","cases","new cases","","deaths","","case"
"Western Pacific Region","","","","","",""
"Republic of Korea","4812","600","28","6","Local transmission","0"
"Japan","268","14","6","0","Local transmission","0"
"Singapore","108","2","0","0","Local transmission","0"
"Australia","33","6","1","0","Local transmission","0"
"Malaysia","29","5","0","0","Local transmission","0"
"Viet Nam","16","0","0","0","Local transmission","19"
"Philippines","3","0","1","0","Imported cases only","28"
"New Zealand","2","1","0","0","Imported cases only","0"
"Cambodia","1","0","0","0","Imported cases only","36"
"European Region","","","","","",""
"Italy","2036","347","52","17","Local transmission","0"
"France","191","91","3","1","Local transmission","0"
"Germany","157","28","0","0","Local transmission","0"
"Spain","114","69","0","0","Local transmission","0"
"the United Kingdom","39","3","0","0","Local transmission","0"
"Switzerland","30","6","0","0","Local transmission","0"
"Norway","25","6","0","0","Local transmission","0"
"Austria","18","8","0","0","Imported cases only","0"
"Netherlands","18","5","0","0","Local transmission","0"
"Sweden","15","1","0","0","Local transmission","0"
"Israel","10","3","0","0","Local transmission","0"
"Croatia","8","2","0","0","Local transmission","0"
"Iceland","9","7","0","0","Imported cases only","0"
"San Marino","8","7","0","0","Local transmission","0"
"Belgium","8","7","0","0","Imported cases only","0"
"Finland","7","1","0","0","Local transmission","0"
"Greece","7","0","0","0","Local transmission","1"
"Denmark","5","1","0","0","Local transmission","0"
"Azerbaijan","3","0","0","0","Imported cases only","2"
"Czechia","3","0","0","0","Imported cases only","1"
"Georgia","3","0","0","0","Imported cases only","2"
"Romania","3","0","0","0","Imported cases only","3"
"Russian Federation","3","1","0","0","Imported cases only","0"
"Portugal","2","2","0","0","Imported cases only","0"
"Andorra","1","1","0","0","Imported cases only","0"
"Armenia","1","0","0","0","Imported cases only","1"
"Belarus","1","0","0","0","Imported cases only","4"
"Estonia","1","0","0","0","Imported cases only","5"
"Ireland","1","0","0","0","Imported cases only","2"
"Latvia","1","1","0","0","Imported cases only","0"
"Lithuania","1","0","0","0","Imported cases only","4"
"Luxembourg","1","0","0","0","Imported cases only","1"
"Monaco","1","0","0","0","Under investigation","2"
"North Macedonia","1","0","0","0","Imported cases only","6"
"South-East Asia Region","","","","","",""
"Thailand","43","1","1","0","Local transmission","0"
"India","5","2","0","0","Imported cases only","0"
