"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","118","0","7","","0","Clusters of cases","2"
"Aruba","101","0","3","","0","Sporadic cases","4"
"Cayman Islands","81","1","1","","0","Clusters of cases","0"
"Sint Maarten","77","1","15","","1","Sporadic cases","0"
"United States Virgin Islands","68","0","4","","0","Clusters of cases","1"
"Saint Martin","38","0","3","","0","Sporadic cases","17"
"Curaçao","16","0","1","","0","Sporadic cases","12"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","14"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","12"
"Montserrat","11","0","1","","0","Sporadic cases","26"
"British Virgin Islands","7","0","1","","0","Sporadic cases","4"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","12"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","40"
"Anguilla","3","0","0","","0","Sporadic cases","36"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","32"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","106 220","1529","6589","","48","Community transmission","0"
"Saudi Arabia","37 136","1704","239","","10","Clusters of cases","0"
"Pakistan","29 465","1991","639","","21","Clusters of cases","0"
"Qatar","21 331","1130","13","","1","Community transmission","0"
"United Arab Emirates","17 417","624","185","","11","Pending","0"
"Egypt","8964","488","514","","11","Clusters of cases","0"
"Kuwait","7623","415","49","","2","Clusters of cases","0"
