"V1","V2","V3","V4","V5","V6"
"","","","Likely place of exposure†","",""
"","","","Outside","",""
"","Confirmed  *","","In","Total cases with site of","Total"
"Country/Territory/Area","cases (new)","","reporting China country and reporting","transmission under","deaths"
"","","","(new) country","investigation (new)","(new)"
"","","","outside","",""
"","","","(new)","",""
"","","","China (new)","",""
"Western Pacific Region","","","","",""
"Republic of Korea","602 (256)","","13 (0) 4 (0) 353 (65)","232 (191)","5 (3)"
"Japan","132 (27)","","28 (0) 5 (0) 92 (24)","7 (3)","1 (0)"
"Singapore","89 (3)","","24 (1) 0 (0) 58 (2)","7 (0)","0 (0)"
"Australia","22 (1)","","12 (0) 7 (1) 3 (0)","0 (0)","0 (0)"
"Malaysia","22 (0)","","17 (0) 1 (0) 2 (0)","2 (0)","0 (0)"
"Viet Nam","16 (0)","","8 (0) 0 (0) 8 (0)","0 (0)","0 (0)"
"Philippines","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","1 (0)"
"Cambodia","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"South-East Asia Region","","","","",""
"Thailand","35 (0)","","23 (0) 0 (0) 5 (0)","7 (0)","0 (0)"
"India","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Nepal","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sri Lanka","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Region of the Americas","","","","",""
"United States of","","","","",""
"America","35 (0)","","14 (0) 18 (0) 2 (0)","1 (0)","0 (0)"
"Canada","9 (1)","","7 (0) 1 (1) 0 (0)","1 (0)","0 (0)"
"European Region","","","","",""
"Italy","76 (67)","","3 (0) 0 (0) 9 (3)","64 (64)","2 (2)"
"Germany","16 (0)","","2 (0) 0 (0) 14 (0)","0 (0)","0 (0)"
"France","12 (0)","","5 (0) 0 (0) 7 (0)","0 (0)","1 (0)"
"The United Kingdom","9 (0)","","2 (0) 6 (0) 1 (0)","0 (0)","0 (0)"
"Russian Federation","2 (0)","","2 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Spain","2 (0)","","0 (0) 2 (0) 0 (0)","0 (0)","0 (0)"
"Belgium","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Finland","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Israel","1 (0)","","0 (0) 1 (0) 0 (0)","0 (0)","0 (0)"
"Sweden","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean Region","","","","",""
"Iran (Islamic Republic of)","28 (10)","","0 (0) 0 (0) 18 (0)","10 (10)","5 (1)"
"United Arab Emirates","13 (2)","","6 (0) 2 (2) 5 (0)","0 (0)","0 (0)"
"Egypt","1 (0)","","0 (0) 0 (0) 1 (0)","0 (0)","0 (0)"
"Lebanon","1 (0)","","0 (0) 1 (0) 0 (0)","0 (0)","0 (0)"
"","","","","",""
"Subtotal for all regions","1135 (367)","","178 (1) 48 (4) 578 (94)","331 (268)","15 (6)"
"International","","","","",""
"conveyance‡ (Diamond","","","","",""
"Princess)","634 (0)","","0 (0) 0 (0) 0 (0)","634 (0)","2 (0)"
"Grand total","1769 (367)","","178 (1) 48 (4) 578 (94)","965 (268)","17 (6)"
