"V1","V2"
"Cumulative Province/  Daily",""
"Population",""
"Region/",""
"(10,000s)",""
"Confirmed Suspected","Confirmed"
"City cases cases","Deaths cases Deaths"
"",""
"Hubei 5917 570 64","34 66907 2761"
"Guangdong 11346 0 1","0 1349 7"
"Henan 9605 0 0","1 1272 22"
"Zhejiang 5737 0 0","0 1205 1"
"Hunan 6899 0 0","0 1018 4"
"Anhui 6324 0 0","0 990 6"
"Jiangxi 4648 0 0","0 935 1"
"Shandong 10047 0 0","0 756 6"
"Jiangsu 8051 0 0","0 631 0"
"Chongqing 3102 0 6","0 576 6"
"Sichuan 8341 0 1","0 538 3"
"Heilongjiang 3773 0 0","0 480 13"
"Beijing 2154 2 18","0 413 8"
"Shanghai 2424 0 10","0 337 3"
"Hebei 7556 0 0","0 318 6"
"Fujian 3941 0 0","0 296 1"
"Guangxi 4926 0 0","0 252 2"
"Shaanxi 3864 0 0","0 245 1"
"Yunnan 4830 0 0","0 174 2"
"Hainan 934 0 3","0 168 5"
"Guizhou 3600 0 0","0 146 2"
"Tianjin 1560 0 11","0 136 3"
"Shanxi 3718 0 0","0 133 0"
"Liaoning 4359 1 11","0 122 1"
"Hong Kong SAR 745 1 0","0 95 2"
"Jilin 2704 0 6","0 93 1"
"Gansu 2637 0 0","0 91 2"
"Xinjiang 2487 0 0","0 76 3"
"Inner Mongolia 2534 0 0","0 75 0"
"Ningxia 688 0 1","0 73 0"
"Taipei and environs 2359 5 0","0 39 1"
"Qinghai 603 0 0","0 18 0"
"Macao SAR 66 0 0","0 10 0"
"Xizang 344 0 0","0 1 0"
"Total 142823 579 132","35 79968 2873"
