"V1","V2"
"Cumulative Province/  In last 24 hours",""
"Population",""
"Region/",""
"(10,000s)",""
"Confirmed Suspected","Confirmed"
"City cases cases","Deaths cases Deaths"
"",""
"Hubei 5917 4 1","10 67794 3085"
"Guangdong 11346 1 1","0 1357 8"
"Henan 9605 0 0","0 1273 22"
"Zhejiang 5737 4 2","0 1231 1"
"Hunan 6899 0 0","0 1018 4"
"Anhui 6324 0 0","0 990 6"
"Jiangxi 4648 0 0","0 935 1"
"Shandong 10047 0 0","0 760 7"
"Jiangsu 8051 0 1","0 631 0"
"Chongqing 3102 0 0","0 576 6"
"Sichuan 8341 0 0","0 539 3"
"Heilongjiang 3773 0 0","0 482 13"
"Beijing 2154 5 9","0 442 8"
"Shanghai 2424 3 24","0 353 3"
"Hebei 7556 0 0","0 318 6"
"Fujian 3941 0 0","0 296 1"
"Guangxi 4926 0 0","0 252 2"
"Shaanxi 3864 0 0","0 245 2"
"Yunnan 4830 0 0","0 174 2"
"Hainan 934 0 0","0 168 6"
"Guizhou 3600 0 0","0 146 2"
"Hong Kong SAR 745 4 0","0 141 4"
"Tianjin 1560 0 1","0 136 3"
"Shanxi 3718 0 0","0 133 0"
"Gansu 2637 3 0","0 132 2"
"Liaoning 4359 0 0","0 125 1"
"Jilin 2704 0 0","0 93 1"
"Xinjiang 2487 0 0","0 76 3"
"Ningxia 688 0 0","0 75 0"
"Inner Mongolia 2534 0 0","0 75 1"
"Taipei and environs 2359 3 0","0 53 1"
"Qinghai 603 0 0","0 18 0"
"Macao SAR 66 0 0","0 10 0"
"Xizang 344 0 0","0 1 0"
"Total 142823 27 39","10 81048 3204"
