"V1","V2","V3","V4","V5"
"","","Likely place of exposure†","",""
"","","Outside","Total cases with site of","Total"
"Country/Territory/ Confirmed*","","reporting In","",""
"Area cases (new)","","China country and reporting","transmission under","deaths"
"","","(new)","investigation (new)","(new)"
"","","outside country","",""
"","","China (new)","",""
"Western Pacific Region","","","",""
"Singapore 81 (4)","","23 (0) 0 (0) 51 (3)","7 (1)","0 (0)"
"Japan 73 (8)","","26 (0) 3 (2) 39 (3)","5 (3)","1 (0)"
"Republic of Korea 51 (20)","","13 (0) 4 (0) 29 (18)","5 (2)","0 (0)"
"Malaysia 22 (0)","","17 (0) 1 (0) 2 (0)","2 (0)","0 (0)"
"Viet Nam 16 (0)","","8 (0) 0 (0) 8 (0)","0 (0)","0 (0)"
"Australia 15 (0)","","12 (0) 0 (0) 3 (0)","0 (0)","0 (0)"
"Philippines 3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","1 (0)"
"Cambodia 1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"South-East Asia Region","","","",""
"Thailand 35 (0)","","23 (0) 0 (0) 5 (0)","7 (0)","0 (0)"
"India 3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Nepal 1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sri Lanka 1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Region of the Americas","","","",""
"United States of 15 (0)","","13 (0) 0 (0) 2 (0)","0 (0)","0 (0)"
"America","","","",""
"Canada 8 (0)","","7 (0) 0 (0) 0 (0)","1 (0)","0 (0)"
"European Region","","","",""
"Germany 16 (0)","","2 (0) 0 (0) 14 (0)","0 (0)","0 (0)"
"France 12 (0)","","5 (0) 0 (0) 7 (0)","0 (0)","1 (0)"
"The United 9 (0)","","2 (0) 6 (0) 1 (0)","0 (0)","0 (0)"
"Kingdom","","","",""
"Italy 3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Russian Federation 2 (0)","","2 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Spain 2 (0)","","0 (0) 2 (0) 0 (0)","0 (0)","0 (0)"
"Belgium 1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Finland 1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sweden 1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean Region","","","",""
"United Arab 9 (0)","","6 (0) 0 (0) 2 (0)","1 (0)","0 (0)"
"Emirates","","","",""
"Egypt 1 (0)","","0 (0) 0 (0) 1 (0)","0 (0)","0 (0)"
"Other","","","",""
"International 542 (88)","","0 (0) 0 (0) 0 (0)","542 (88)","0 (0)"
"conveyance‡","","","",""
"(Diamond Princess)","","","",""
