"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Seychelles","11","0","0","0","Clusters of cases","37"
"Mauritania","9","1","1","0","Sporadic cases","0"
"Lesotho","1","1","0","0","Pending","0"
"Territoriesii","","","","","",""
"Mayotte","1 143","48","14","2","Clusters of cases","0"
"Réunion","439","2","0","0","Clusters of cases","0"
"Americas","","","","","",""
"United States of America","1 340 098","18 044","80 695","1 061","Community transmission","0"
"Brazil","177 589","9 258","12 400","881","Community transmission","0"
"Peru","72 059","3 237","2 057","96","Community transmission","0"
"Canada","71 486","1 144","5 209","160","Community transmission","0"
"Mexico","38 324","1 997","3 926","353","Community transmission","0"
"Chile","34 381","2 660","346","11","Community transmission","0"
"Ecuador","30 486","67","2 334","7","Community transmission","0"
"Colombia","12 272","659","493","14","Community transmission","0"
"Dominican Republic","11 196","296","409","7","Community transmission","0"
"Panama","8 616","0","249","0","Community transmission","1"
"Argentina","6 563","285","321","4","Community transmission","0"
"Bolivia (Plurinational State of)","2 964","133","128","6","Clusters of cases","0"
"Honduras","2 080","- 20","121","5","Community transmission","0"
"Cuba","1 810","6","79","1","Clusters of cases","0"
"Guatemala","1 199","85","27","1","Clusters of cases","0"
"El Salvador","1 037","39","20","2","Clusters of cases","0"
"Costa Rica","804","3","7","0","Clusters of cases","0"
