"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Azerbaijan","2204","77","28","0","Clusters of cases","0"
"Croatia","2125","6","86","1","Community transmission","0"
"Bosnia and Herzegovina","2027","10","89","2","Community transmission","0"
"Bulgaria","1829","51","84","0","Clusters of cases","0"
"Iceland","1801","2","10","0","Community transmission","0"
"Estonia","1720","7","56","1","Pending","0"
"North Macedonia","1572","33","89","1","Clusters of cases","0"
"Slovenia","1449","1","99","0","Community transmission","0"
"Slovakia","1445","16","26","1","Clusters of cases","0"
"Lithuania","1433","5","49","1","Community transmission","0"
"Latvia","909","9","18","1","Community transmission","0"
"Kyrgyzstan","906","11","12","0","Clusters of cases","0"
"Cyprus","889","6","21","0","Clusters of cases","0"
"Albania","850","18","31","0","Clusters of cases","0"
"Andorra","752","0","47","0","Community transmission","1"
"San Marino","632","24","41","0","Community transmission","0"
"Georgia","623","9","9","0","Community transmission","0"
"Malta","486","2","5","0","Pending","0"
"Tajikistan","461","82","16","7","Pending","0"
"Montenegro","324","0","8","0","Clusters of cases","2"
"Monaco","95","0","1","0","Sporadic cases","4"
"Liechtenstein","83","0","1","0","Pending","12"
"Holy See","12","0","0","0","Sporadic cases","1"
