"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Africa","","","","","",""
"South Africa","9420","525","186","8","Community transmission","0"
"Algeria","5558","189","494","6","Community transmission","0"
"Ghana","4263","251","22","4","Clusters of cases","0"
"Nigeria","4151","239","128","11","Community transmission","0"
"Cameroon","2335","70","110","2","Clusters of cases","0"
"Guinea","2042","33","11","0","Community transmission","0"
"Côte d’Ivoire","1667","65","21","1","Clusters of cases","0"
"Senegal","1634","83","17","4","Clusters of cases","0"
"Democratic Republic of the","","","","","",""
"Congo","991","54","41","2","Clusters of cases","0"
"Niger","815","20","45","1","Clusters of cases","0"
"Burkina Faso","748","12","48","0","Community transmission","0"
"Mali","692","24","37","2","Clusters of cases","0"
"Gabon","661","41","8","0","Clusters of cases","0"
"Kenya","649","28","30","1","Clusters of cases","0"
"Guinea-Bissau","642","134","3","1","Sporadic cases","0"
"United Republic of Tanzania","509","0","21","0","Clusters of cases","2"
"Equatorial Guinea","439","0","4","0","Clusters of cases","4"
"Mauritius","332","0","10","0","Community transmission","13"
"Chad","322","62","31","3","Sporadic cases","0"
"Sierra Leone","291","34","18","1","Clusters of cases","0"
"Congo","287","0","10","0","Clusters of cases","1"
