"V1","V2","V3","V4","V5","V6"
"","","","Likely place of exposure‡","",""
"","","","Outside","",""
"","Confirmed  †","","In reporting","Total cases with site of","Total"
"Country/Territory/Area","","","China reporting","transmission under","deaths"
"","cases (new)","","country and","",""
"","","","(new) country","investigation (new)","(new)"
"","","","outside","",""
"","","","(new)","",""
"","","","China (new)","",""
"Western Pacific Region","","","","",""
"Republic of Korea","763 (161)","","13 (0) 4 (0) 605 (129)","141 (32)","7 (2)"
"Japan","144 (12)","","28 (0) 5 (0) 104 (10)","7 (2)","1 (0)"
"Singapore","89 (0)","","24 (0) 0 (0) 65 (0)","0 (0)","0 (0)"
"Australia","22 (0)","","12 (0) 7 (0) 3 (0)","0 (0)","0 (0)"
"Malaysia","22 (0)","","18 (0) 2 (0) 2 (0)","0 (0)","0 (0)"
"Viet Nam","16 (0)","","8 (0) 0 (0) 8 (0)","0 (0)","0 (0)"
"Philippines","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","1 (0)"
"Cambodia","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"South-East Asia Region","","","","",""
"Thailand","35 (0)","","23 (0) 0 (0) 6 (0)","6 (0)","0 (0)"
"India","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Nepal","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sri Lanka","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Region of the Americas","","","","",""
"United States of America","35 (0)","","14 (0) 18 (0) 2 (0)","1 (0)","0 (0)"
"Canada","9 (0)","","7 (0) 1 (0) 1 (0)","0 (0)","0 (0)"
"European Region","","","","",""
"Italy","124 (48)","","3 (0) 0 (0) 10 (0)","111 (48)","2 (0)"
"Germany","16 (0)","","2 (0) 0 (0) 14 (0)","0 (0)","0 (0)"
"France","12 (0)","","5 (0) 0 (0) 7 (0)","0 (0)","1 (0)"
"The United Kingdom","9 (0)","","2 (0) 6 (0) 1 (0)","0 (0)","0 (0)"
"Russian Federation","2 (0)","","2 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Spain","2 (0)","","0 (0) 2 (0) 0 (0)","0 (0)","0 (0)"
"Belgium","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Finland","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Israel","1 (0)","","0 (0) 1 (0) 0 (0)","0 (0)","0 (0)"
"Sweden","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean Region","","","","",""
"Iran (Islamic Republic of)","43 (15)","","0 (0) 0 (0) 28 (0)","15 (15)","8 (3)"
"United Arab Emirates","13 (0)","","6 (0) 2 (0) 5 (0)","0 (0)","0 (0)"
"Kuwait","3 (3)","","0 (0) 3 (3) 0 (0)","0 (0)","0 (0)"
"Egypt","1 (0)","","0 (0) 0 (0) 1 (0)","0 (0)","0 (0)"
"Lebanon","1 (0)","","0 (0) 1 (0) 0 (0)","0 (0)","0 (0)"
"","","","","",""
"Subtotal for all regions","1374 (239)","","179 (0) 52 (3) 862 (139)","281 (97)","20 (5)"
"International conveyance§","","","","",""
"","695 (61)","","0 (0) 0 (0) 0 (0)","695 (61)","3 (1)"
"(Diamond Princess)","","","","",""
"Grand total","2069 (300)","","179 (0) 52 (3) 862 (139)","976 (158)","23 (6)"
