"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Mauritania","8","0","1","","0","Sporadic cases","2"
"Comoros","3","2","0","","0","Pending","0"
"Territoriesii","","","","","","",""
"Mayotte","596","57","6","","2","Clusters of cases","0"
"Réunion","420","0","0","","0","Clusters of cases","3"
"Americas","","","","","","",""
"United States of America","1093880","26753","62406","","5000","Community transmission","0"
"Brazil","91589","6209","6329","","428","Community transmission","0"
"Canada","55572","1915","3446","","223","Community transmission","0"
"Peru","40459","3483","1124","","73","Community transmission","0"
"Ecuador","27464","1128","1371","","308","Community transmission","0"
"Mexico","20739","1515","1972","","113","Community transmission","0"
"Chile","18435","1427","247","","13","Community transmission","0"
"Dominican Republic","7578","290","326","","13","Community transmission","0"
"Colombia","7006","499","314","","21","Community transmission","0"
"Panama","6720","188","192","","4","Community transmission","0"
"Argentina","4532","56","229","","9","Community transmission","0"
"Cuba","1611","74","66","","2","Clusters of cases","0"
"Bolivia (Plurinational State of)","1229","62","66","","4","Clusters of cases","0"
"Honduras","899","95","75","","0","Clusters of cases","0"
"Costa Rica","725","6","6","","0","Clusters of cases","0"
"Uruguay","648","5","17","","0","Clusters of cases","0"
"Guatemala","644","45","18","","2","Clusters of cases","0"
"El Salvador","446","22","10","","0","Clusters of cases","0"
