"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Morocco","5910","199","186","0","Clusters of cases","0"
"Bahrain","4774","330","8","0","Clusters of cases","0"
"Afghanistan","4402","839","119","14","Clusters of cases","0"
"Oman","3400","176","17","0","Clusters of cases","0"
"Iraq","2679","76","107","3","Clusters of cases","0"
"Djibouti","1189","54","3","0","Clusters of cases","0"
"Sudan","1164","53","64","5","Sporadic cases","0"
"Tunisia","1032","2","45","0","Community transmission","0"
"Somalia","997","69","48","4","Sporadic cases","0"
"Lebanon","809","13","26","0","Clusters of cases","0"
"Jordan","522","14","9","0","Clusters of cases","0"
"Libya","64","0","3","0","Clusters of cases","3"
"Syrian Arab Republic","47","0","3","0","Community transmission","1"
"Yemen","36","0","8","0","Pending","1"
"Territoriesii","","","","","",""
"occupied Palestinian territory","547","0","4","0","Clusters of cases","2"
"Europe","","","","","",""
"Spain","223 578","721","26 478","227","Community transmission","0"
"Italy","218 268","1083","30 395","194","Community transmission","0"
"The United Kingdom","215 264","3896","31 587","346","Community transmission","0"
"Russian Federation","209 688","11 012","1915","88","Clusters of cases","0"
"Germany","169 218","667","7395","26","Community transmission","0"
"Turkey","137 115","1546","3739","50","Community transmission","0"
"France","137 008","430","26 268","80","Community transmission","0"
