"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Bulgaria","2 538","25","144","0","Clusters of cases","0"
"Bosnia and Herzegovina","2 534","11","156","3","Community transmission","0"
"North Macedonia","2 391","76","141","1","Clusters of cases","0"
"Croatia","2 246","0","103","0","Community transmission","3"
"Kyrgyzstan","1 871","26","20","3","Clusters of cases","0"
"Estonia","1 870","0","68","0","Pending","1"
"Iceland","1 806","0","10","0","Community transmission","3"
"Lithuania","1 682","4","71","1","Community transmission","0"
"Slovakia","1 522","0","28","0","Clusters of cases","2"
"Slovenia","1 475","0","108","0","Clusters of cases","1"
"Albania","1 176","12","33","0","Clusters of cases","0"
"Latvia","1 079","8","24","0","Clusters of cases","0"
"Cyprus","952","3","17","0","Clusters of cases","0"
"Andorra","844","79","51","0","Community transmission","0"
"Georgia","800","4","13","1","Community transmission","0"
"San Marino","687","0","42","0","Community transmission","5"
"Malta","620","1","9","0","Sporadic cases","0"
"Montenegro","324","0","9","0","Clusters of cases","28"
"Monaco","98","0","1","0","Sporadic cases","10"
"Liechtenstein","83","0","1","0","Pending","38"
"Holy See","12","0","0","0","Sporadic cases","27"
"Territoriesii","","","","","",""
"Kosovo[1]","1 080","13","30","0","Community transmission","0"
"Isle of Man","336","0","24","0","Pending","12"
