"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","","Total","","Total","","Days since"
"Reporting Country/","","","","Total","","Transmission",""
"Territory/Area  †","confirmed‡","","confirmed","deaths","new","classification§","last reported"
"","cases","","new cases","","deaths","","case"
"Western Pacific Region","","","","","","",""
"Republic of Korea","6767","","483","44","2","Local transmission","0"
"Japan","408","","59","6","0","Local transmission","0"
"Singapore","130","","13","0","0","Local transmission","0"
"Malaysia","83","","28","0","0","Local transmission","1"
"Australia","62","","5","2","0","Local transmission","0"
"Viet Nam","17","","1","0","0","Local transmission","0"
"New Zealand","5","","1","0","0","Local transmission","0"
"Philippines","5","","0","1","0","Local transmission","1"
"Cambodia","1","","0","0","0","Imported cases only","39"
"European Region","","","","","","",""
"Italy","4636","","778","197","49","Local transmission","0"
"Germany","639","","105","0","0","Local transmission","0"
"France","613","","193","9","3","Local transmission","0"
"Spain","374","","117","5","2","Local transmission","0"
"Switzerland","209","","123","1","0","Local transmission","0"
"The United Kingdom","167","","49","1","1","Local transmission","0"
"Sweden","137","","76","0","0","Local transmission","0"
"Netherlands","128","","46","1","1","Local transmission","0"
"Norway","113","","27","0","0","Local transmission","0"
"Belgium","109","","59","0","0","Local transmission","0"
"Austria","66","","19","0","0","Imported cases only","0"
"Iceland","45","","19","0","0","Local transmission","0"
"Greece","32","","0","0","0","Local transmission","2"
"San Marino","24","","3","0","0","Local transmission","0"
"Denmark","23","","5","0","0","Local transmission","0"
"Finland","19","","7","0","0","Local transmission","0"
"Israel","19","","4","0","0","Local transmission","0"
"Ireland","18","","4","0","0","Local transmission","0"
"Portugal","13","","4","0","0","Local transmission","0"
"Czechia","12","","0","0","0","Local transmission","1"
"Croatia","11","","1","0","0","Local transmission","0"
"Estonia","10","","7","0","0","Imported cases only","0"
"Azerbaijan","9","","6","0","0","Imported cases only","0"
"Georgia","9","","0","0","0","Imported cases only","1"
"Slovenia","9","","3","0","0","Local transmission","0"
"Romania","7","","1","0","0","Local transmission","0"
"Russian Federation","7","","3","0","0","Imported cases only","0"
"Belarus","6","","0","0","0","Local transmission","2"
"Poland","5","","4","0","0","Imported cases only","0"
"Hungary","5","","3","0","0","Imported cases only","0"
"North Macedonia","3","","2","0","0","Imported cases only","0"
"Bosnia and","","","","","","",""
"","2","","0","0","0","Local transmission","2"
"Herzegovina","","","","","","",""
"Luxembourg","2","","1","0","0","Imported cases only","0"
"Andorra","1","","0","0","0","Imported cases only","4"
"Armenia","1","","0","0","0","Imported cases only","5"
"Holy See","1","","1","0","0","Under investigation","1"
