"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","111","0","6","","0","Clusters of cases","1"
"Aruba","100","0","2","","0","Clusters of cases","8"
"Sint Maarten","76","1","13","","0","Clusters of cases","0"
"Cayman Islands","73","0","1","","0","Clusters of cases","1"
"United States Virgin Islands","66","4","4","","0","Clusters of cases","0"
"Saint Martin","38","0","3","","0","Sporadic cases","8"
"Curaçao","16","0","1","","0","Sporadic cases","3"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","5"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","3"
"Montserrat","11","0","1","","0","Sporadic cases","17"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","3"
"British Virgin Islands","6","0","1","","0","Sporadic cases","5"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","31"
"Anguilla","3","0","0","","0","Sporadic cases","27"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","23"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","94640","983","6028","","71","Community transmission","0"
"Saudi Arabia","22753","1351","162","","5","Clusters of cases","0"
"Pakistan","16817","1058","385","","39","Clusters of cases","0"
"Qatar","13409","845","10","","0","Pending","0"
"United Arab Emirates","12481","552","105","","7","Pending","0"
"Egypt","5537","269","392","","12","Clusters of cases","0"
"Morocco","4423","64","170","","2","Clusters of cases","0"
