"V1","V2","V3"
"WHO Regional Office","Country/Territory/Area","Confirmed Cases"
"","China*","5997"
"","Japan","7"
"Western Pacific","Republic of Korea","4"
"","",""
"","Viet Nam","2"
"","",""
"","Singapore","7"
"","",""
"","Australia","7"
"","Malaysia","4"
"","Cambodia","1"
"","Thailand","14"
"South-East Asia","Nepal","1"
"","Sri Lanka","1"
"Region of the Americas","United States of America","5"
"","Canada","3"
"","France","4"
"European Region","",""
"","Germany","4"
"Eastern Mediterranean","United Arab Emirates","4"
"Total Confirmed cases","Total","6065"
