"V1","V2","V3"
"WHO Regional Office","Country/Territory/Area","Confirmed Cases"
"","China*","9720"
"","Japan","14"
"","Republic of Korea","11"
"Western Pacific","",""
"","Viet Nam","5"
"","",""
"","Singapore","13"
"","",""
"","Australia","9"
"","",""
"","Malaysia","8"
"","Cambodia","1"
"","Philippines","1"
"","Thailand","14"
"","Nepal","1"
"South-East Asia","",""
"","Sri Lanka","1"
"","India","1"
"","United States of America","6"
"Region of the Americas","",""
"","Canada","3"
"","France","6"
"","Finland","1"
"European Region","",""
"","Germany","5"
"","Italy","2"
"Eastern Mediterranean","United Arab Emirates","4"
"Total Confirmed cases","Total","9826"
