"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Republic of Korea","10804","3","254","2","Clusters of cases","0"
"Philippines","9485","262","623","16","Clusters of cases","0"
"Australia","6825","24","95","0","Clusters of cases","0"
"Malaysia","6353","55","105","0","Clusters of cases","0"
"New Zealand","1137","0","20","0","Clusters of cases","1"
"Viet Nam","271","0","0","0","Clusters of cases","1"
"Brunei Darussalam","138","0","1","0","Sporadic cases","15"
"Cambodia","122","0","0","0","Sporadic cases","23"
"Mongolia","40","1","0","0","Sporadic cases","0"
"Lao People's Democratic","","","","","",""
"Republic","19","0","0","0","Sporadic cases","22"
"Fiji","18","0","0","0","Sporadic cases","14"
"Papua New Guinea","8","0","0","0","Sporadic cases","12"
"Territoriesii","","","","","",""
"Guam","145","0","5","0","Clusters of cases","1"
"French Polynesia","58","0","0","0","Sporadic cases","7"
"New Caledonia","18","0","0","0","Sporadic cases","32"
"Northern Mariana Islands","","","","","",""
"(Commonwealth of the)","14","0","2","0","Pending","17"
"Subtotal for all regions","3 516 633","81 454","243 388","3797","",""
"Other*","712","0","13","0","-","50"
"Grand total","","","","","",""
"","3 517 345","81 454","243 401","3797","",""
