"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Jamaica","471","2","9","","0","Clusters of cases","0"
"Paraguay","431","35","10","","0","Community transmission","0"
"Venezuela (Bolivarian Republic","","","","","","",""
"of)","361","4","10","","0","Clusters of cases","0"
"Trinidad and Tobago","116","0","8","","0","Sporadic cases","8"
"Haiti","100","12","11","","2","Clusters of cases","0"
"Guyana","92","10","9","","0","Clusters of cases","0"
"Bahamas","84","1","11","","0","Clusters of cases","0"
"Barbados","82","0","7","","0","Clusters of cases","1"
"Antigua and Barbuda","25","0","3","","0","Clusters of cases","2"
"Grenada","21","0","0","","0","Clusters of cases","2"
"Belize","18","0","2","","0","Sporadic cases","21"
"Saint Lucia","18","0","0","","0","Sporadic cases","1"
"Saint Vincent and the","","","","","","",""
"Grenadines","17","0","0","","0","Sporadic cases","1"
"Dominica","16","0","0","","0","Clusters of cases","25"
"Nicaragua","15","0","5","","0","Pending","1"
"Saint Kitts and Nevis","15","0","0","","0","Sporadic cases","15"
"Suriname","10","0","1","","0","Sporadic cases","32"
"Territoriesii","","","","","","",""
"Puerto Rico","1924","81","56","","2","Clusters of cases","0"
"Martinique","181","0","14","","0","Clusters of cases","2"
"Guadeloupe","152","0","13","","1","Clusters of cases","5"
"French Guiana","133","0","1","","0","Clusters of cases","1"
