"V1","V2","V3","V4","V5","V6"
"Province/","","","Daily","","Cumulative"
"","Population","","","",""
"Region/","","","","",""
"","(10,000s)","Confirmed","Suspected","","Confirmed"
"City","","","","Deaths","Deaths"
"","","cas es","cas es","","cases"
"Hubei","5917","401","311","52","65187 2615"
"Guangdong","11346","0","0","0","1347 7"
"Henan","9605","0","1","0","1271 19"
"Zhejiang","5737","0","2","0","1205 1"
"Hunan","6899","0","1","0","1016 4"
"Anhui","6324","0","0","0","989 6"
"Jiangxi","4648","0","0","0","934 1"
"Shandong","10047","1","1","0","756 6"
"Jiangsu","8051","0","0","0","631 0"
"Chongqing","3102","0","9","0","576 6"
"Sichuan","8341","2","7","0","531 3"
"Heilongjiang","3773","0","0","0","480 12"
"Beijing","2154","0","21","0","400 4"
"Shanghai","2424","1","46","0","336 3"
"Hebei","7556","1","0","0","312 6"
"Fujian","3941","0","0","0","294 1"
"Guangxi","4926","0","2","0","252 2"
"Shaanxi","3864","0","0","0","245 1"
"Yunnan","4830","0","7","0","174 2"
"Hainan","934","0","6","0","168 5"
"Guizhou","3600","0","0","0","146 2"
"Tianjin","1560","0","14","0","135 3"
"Shanxi","3718","0","1","0","133 0"
"Liaoning","4359","0","6","0","121 1"
"Jilin","2704","0","2","0","93 1"
"Gansu","2637","0","0","0","91 2"
"Hong Kong SAR","745","4","0","0","85 2"
"Xinjiang","2487","0","0","0","76 2"
"Inner Mongolia","2534","0","0","0","75 0"
"Ningxia","688","0","2","0","71 0"
"Taipei and environs","2359","2","0","0","32 1"
"Qinghai","603","0","0","0","18 0"
"Macao SAR","66","0","0","0","10 0"
"Xizang","344","0","0","0","1 0"
"Total","142823","412","439","52","78191 2718"
