"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Liberia","166","8","18","0","Clusters of cases","0"
"Cabo Verde","165","0","2","0","Sporadic cases","1"
"São Tomé and Príncipe","161","138","3","0","Sporadic cases","0"
"Madagascar","158","7","0","0","Clusters of cases","0"
"Ethiopia","140","5","3","0","Clusters of cases","0"
"Zambia","137","13","3","0","Sporadic cases","0"
"Togo","126","2","9","0","Clusters of cases","0"
"Chad","117","0","10","0","Sporadic cases","2"
"Eswatini","116","4","1","0","Sporadic cases","0"
"Benin","96","6","2","0","Sporadic cases","0"
"Central African Republic","94","22","0","0","Sporadic cases","0"
"Uganda","89","1","0","0","Sporadic cases","0"
"Mozambique","80","0","0","0","Sporadic cases","1"
"South Sudan","49","3","0","0","Sporadic cases","0"
"Malawi","41","2","3","0","Sporadic cases","0"
"Eritrea","39","0","0","0","Sporadic cases","16"
"Angola","35","0","2","0","Sporadic cases","2"
"Zimbabwe","34","0","4","0","Sporadic cases","3"
"Botswana","23","0","1","0","Sporadic cases","6"
"Burundi","19","0","1","0","Sporadic cases","2"
"Gambia","17","0","1","0","Sporadic cases","2"
"Namibia","16","0","0","0","Sporadic cases","29"
"Seychelles","11","0","0","0","Sporadic cases","28"
