"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","118","3","7","","0","Clusters of cases","0"
"Aruba","101","0","2","","0","Clusters of cases","2"
"Cayman Islands","78","0","1","","0","Clusters of cases","1"
"Sint Maarten","76","0","14","","0","Clusters of cases","7"
"United States Virgin Islands","66","0","4","","0","Clusters of cases","7"
"Saint Martin","38","0","3","","0","Sporadic cases","15"
"Curaçao","16","0","1","","0","Sporadic cases","10"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","12"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","10"
"Montserrat","11","0","1","","0","Sporadic cases","24"
"British Virgin Islands","7","0","1","","0","Sporadic cases","2"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","10"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","38"
"Anguilla","3","0","0","","0","Sporadic cases","34"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","30"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","103 135","1485","6486","","68","Community transmission","0"
"Saudi Arabia","33 731","1793","219","","10","Clusters of cases","0"
"Pakistan","25 837","1764","594","","30","Clusters of cases","0"
"Qatar","18 890","918","12","","0","Community transmission","0"
"United Arab Emirates","16 240","502","165","","8","Pending","0"
"Egypt","7981","393","482","","13","Clusters of cases","0"
"Kuwait","6567","278","44","","2","Clusters of cases","0"
