"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Morocco","5548","140","183","0","Clusters of cases","0"
"Bahrain","4199","265","8","0","Clusters of cases","0"
"Afghanistan","3563","171","105","1","Clusters of cases","0"
"Oman","3112","154","15","2","Clusters of cases","0"
"Iraq","2543","63","102","0","Clusters of cases","0"
"Djibouti","1133","9","3","0","Clusters of cases","0"
"Tunisia","1026","1","44","1","Community transmission","0"
"Sudan","930","78","52","3","Sporadic cases","0"
"Somalia","928","55","44","5","Sporadic cases","0"
"Lebanon","784","34","25","0","Clusters of cases","0"
"Jordan","494","21","9","0","Clusters of cases","0"
"Libya","64","0","3","0","Clusters of cases","1"
"Syrian Arab Republic","45","0","3","0","Community transmission","1"
"Yemen","26","0","6","0","Pending","1"
"Territoriesii","","","","","",""
"occupied Palestinian territory","547","1","4","0","Clusters of cases","0"
"Europe","","","","","",""
"Spain","221 447","1122","26 070","213","Community transmission","0"
"Italy","215 858","1401","29 958","274","Community transmission","0"
"The United Kingdom","206 719","5514","30 615","539","Community transmission","0"
"Russian Federation","187 859","10 699","1723","98","Clusters of cases","0"
"Germany","167 300","1209","7266","147","Community transmission","0"
"France","135 980","512","25 946","177","Community transmission","0"
"Turkey","133 721","1977","3641","57","Community transmission","0"
