"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Bulgaria","2 585","47","147","3","Clusters of cases","0"
"Bosnia and Herzegovina","2 550","16","156","0","Community transmission","0"
"North Macedonia","2 492","101","145","4","Clusters of cases","0"
"Croatia","2 246","0","103","0","Sporadic cases","4"
"Kyrgyzstan","1 899","28","20","0","Clusters of cases","0"
"Estonia","1 880","10","69","1","Pending","0"
"Iceland","1 806","0","10","0","Community transmission","4"
"Lithuania","1 684","2","71","0","Community transmission","0"
"Slovakia","1 525","3","28","0","Clusters of cases","0"
"Slovenia","1 477","2","108","0","Clusters of cases","0"
"Albania","1 197","21","33","0","Clusters of cases","0"
"Latvia","1 079","0","24","0","Clusters of cases","1"
"Cyprus","958","6","17","0","Clusters of cases","0"
"Andorra","851","7","51","0","Community transmission","0"
"Georgia","801","1","13","0","Community transmission","0"
"San Marino","687","0","42","0","Community transmission","6"
"Malta","622","2","9","0","Sporadic cases","0"
"Montenegro","324","0","9","0","Clusters of cases","29"
"Monaco","98","0","1","0","Sporadic cases","11"
"Liechtenstein","83","0","1","0","Pending","39"
"Holy See","12","0","0","0","Sporadic cases","28"
"Territoriesii","","","","","",""
"Kosovo[1]","1 142","62","30","0","Community transmission","0"
"Isle of Man","336","0","24","0","Pending","13"
