"V1","V2","V3","V4","V5","V6","V7"
"","Total Total","","Total","","","Days since last"
"Reporting Country/","","Total","","Transmission","",""
"","confirmed confirmed","","new","","","reported case"
"Territory/Area†","classification§‡  cases new cases","deaths","deaths","","",""
"Western Pacific Region","","","","","",""
"China","82078 117","3298","5","Local transmission","","0"
"Republic of Korea","9332 91","139","8","Local transmission","","0"
"Australia","2985 186","13","2","Local transmission","","0"
"Malaysia","2031 235","23","4","Local transmission","","0"
"Japan","1387 96","46","1","Local transmission","","0"
"Philippines","707 71","45","7","Local transmission","","0"
"Singapore","683 52","2","0","Local transmission","","0"
"New Zealand","338 76","0","0","Local transmission","","0"
"Viet Nam","153 12","0","0","Local transmission","","0"
"Brunei Darussalam","114 5","0","0","Local transmission","","0"
"Cambodia","98 2","0","0","Local transmission","","0"
"Mongolia","11 1","0","0","Imported cases only","","0"
"Lao People's","","","","","",""
"","6 3","0","0","Under investigation","","0"
"Democratic Republic","","","","","",""
"Fiji","5 0","0","0","Local transmission","","1"
"Papua New Guinea","1 0","0","0","Imported cases only","","6"
"Territories**","","","","","",""
"Guam","45 8","1","0","Local transmission","","0"
"French Polynesia","30 5","0","0","Local transmission","","0"
"New Caledonia","14 0","0","0","Local transmission","","1"
"European Region","","","","","",""
"Italy","80539 6153","8165","660","Local transmission","","0"
"Spain","56188 8578","4089","655","Local transmission","","0"
"Germany","42288 5780","253","55","Local transmission","","0"
"France","28786 3866","1695","364","Local transmission","","0"
"The United Kingdom","11662 2129","578","115","Local transmission","","0"
"Switzerland","10714 1000","161","58","Local transmission","","0"
"Netherlands","7431 1019","434","78","Local transmission","","0"
"Austria","7029 1141","52","18","Local transmission","","0"
"Belgium","6235 1298","220","42","Local transmission","","0"
"Turkey","3629 1196","75","16","Local transmission","","0"
"Portugal","3544 549","60","17","Local transmission","","0"
"Norway","3156 240","14","2","Local transmission","","0"
"Israel","3035 666","10","5","Local transmission","","0"
"Sweden","2806 296","66","24","Local transmission","","0"
"Czechia","2062 408","9","3","Local transmission","","0"
"Denmark","1877 153","41","7","Local transmission","","0"
"Ireland","1819 255","19","10","Local transmission","","0"
"Luxembourg","1453 120","9","1","Local transmission","","0"
"Poland","1221 170","16","2","Local transmission","","0"
"Russian Federation","1036 196","3","1","Local transmission","","0"
"Romania","1029 123","17","4","Local transmission","","0"
"Finland","958 78","4","1","Local transmission","","0"
"Greece","892 71","26","4","Local transmission","","0"
"Iceland","802 65","2","0","Local transmission","","0"
"Slovenia","577 49","5","1","Local transmission","","0"
