"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Territoriesii","","","","","",""
"Kosovo[1]","","","","","",""
"","856","1","27","0","Community transmission","0"
"Isle of Man","325","4","23","0","Pending","0"
"Jersey","293","1","24","0","Pending","0"
"Guernsey","252","0","13","0","Community transmission","3"
"Faroe Islands","187","0","0","0","Pending","12"
"Gibraltar","144","0","0","0","Clusters of cases","4"
"Greenland","11","0","0","0","Pending","30"
"South-East Asia","","","","","",""
"India","49 391","2958","1694","126","Clusters of cases","0"
"Indonesia","12 071","484","872","8","Community transmission","0"
"Bangladesh","10 929","786","183","1","Clusters of cases","0"
"Thailand","2989","1","55","1","Clusters of cases","0"
"Sri Lanka","771","53","9","2","Clusters of cases","0"
"Maldives","573","28","2","1","Clusters of cases","0"
"Myanmar","161","0","6","0","Clusters of cases","1"
"Nepal","82","0","0","0","Sporadic cases","1"
"Timor-Leste","24","0","0","0","Clusters of cases","12"
"Bhutan","7","0","0","0","Sporadic cases","13"
"Western Pacific","","","","","",""
"China","84 406","2","4643","0","Clusters of cases","0"
"Singapore","19 410","632","18","0","Clusters of cases","0"
"Japan","15 354","123","543","22","Clusters of cases","0"
