"V1","V2","V3","V4","V5","V6","V7"
"","Total","Total","","Total","",""
"Reporting Country/","","","Total","","Transmission","Days since last"
"Territory/Area  †","confirmed ‡  cases","confirmed new cases","deaths","new deaths","classification§","reported case"
"Western Pacific Region","","","","","",""
"China","84302","15","4642","0","Clusters of cases","0"
"Japan","11919","423","287","10","Clusters of cases","0"
"Republic of Korea","10702","8","240","2","Clusters of cases","0"
"Singapore","10141","1016","12","1","Clusters of cases","0"
"Philippines","6710","111","446","9","Clusters of cases","0"
"Australia","6654","7","74","0","Clusters of cases","0"
"Malaysia","5532","50","93","1","Clusters of cases","0"
"New Zealand","1112","0","16","2","Clusters of cases","1"
"Viet Nam","268","0","0","0","Clusters of cases","6"
"Brunei Darussalam","138","0","1","0","Sporadic cases","3"
"Cambodia","122","0","0","0","Sporadic cases","11"
"Mongolia","35","1","0","0","Sporadic cases","0"
"Lao People's","","","","","",""
"Democratic Republic","19","0","0","0","Sporadic cases","10"
"Fiji","18","0","0","0","Sporadic cases","2"
"Papua New Guinea","8","1","0","0","Sporadic cases","0"
"Territories**","","","","","",""
"Guam","133","0","5","0","Clusters of cases","11"
"French Polynesia","57","0","0","0","Sporadic cases","1"
"New Caledonia","18","0","0","0","Sporadic cases","20"
"Northern Mariana","","","","","",""
"Islands","","","","","",""
"(Commonwealth of","","","","","",""
"the)","14","0","2","0","Pending","5"
"European Region","","","","","",""
"Spain","208389","4211","21717","435","Pending","0"
"","","","","","Community",""
"Italy","187327","3370","25085","437","transmission","0"
"","","","","","Community",""
"Germany","148046","2352","5094","215","transmission","0"
"","","","","","Community",""
"The United Kingdom","133499","4451","18100","763","transmission","0"
"","","","","","Community",""
"France","117961","1810","21307","544","transmission","0"
"","","","","","Community",""
"Turkey","98674","3083","2376","117","transmission","0"
"Russian Federation","62773","4774","555","42","Clusters of cases","0"
"","","","","","Community",""
"Belgium","41889","933","6262","264","transmission","0"
