"V1","V2","V3","V4","V5"
"","","Announcement posted on the WHO Event Information Site (EIS)","","TOTAL"
"","","","","new"
"","","","","reports"
"WHO","6 Feb","12 Feb 21 Feb 28 Feb 5 Mar 12 Mar 19 Mar","26 Mar",""
"Region","","","",""
"AFR","-","1 - - - - -","22 (#)","23"
"","","","1 update",""
"AMR","10","2 - - 1* 1 11","6","31"
"","","5* 12 updates","17 updates",""
"","","updates","",""
"EMR","-","1 - 1* 1* - 1","1","5"
"","","1* update 1 update","",""
"EUR","2","1 2 5 (3*) 2* 5 18","6","41"
"","","1* update 3 updates 19 updates","20 updates",""
"SEAR","1","- - - - - 6","4","11"
"","","","8 updates",""
"WPR","9","3 2 1* - 2","8","25"
"","","6* 8* 3 updates 4 updates","12 updates",""
"","","updates updates","",""
"TOTAL","22","8 4 7 4 6 38","47","136"
