"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Afghanistan","29 481","338","618","20","Clusters of cases","0"
"Bahrain","22 407","643","65","2","Clusters of cases","0"
"Morocco","10 172","195","214","0","Clusters of cases","0"
"Sudan","8 698","118","533","12","Community transmission","0"
"Djibouti","4 599","17","48","3","Clusters of cases","0"
"Somalia","2 812","33","90","0","Sporadic cases","0"
"Lebanon","1 603","16","32","0","Clusters of cases","0"
"Tunisia","1 159","2","50","0","Sporadic cases","0"
"Jordan","1 042","9","9","0","Clusters of cases","0"
"Yemen","971","26","258","1","Community transmission","0"
"Libya","571","0","10","0","Clusters of cases","1"
"Syrian Arab Republic","219","15","7","0","Community transmission","0"
"Territoriesii","","","","","",""
"occupied Palestinian territory","1 196","168","5","0","Clusters of cases","0"
"Europe","","","","","",""
"Russian Federation","599 705","7 425","8 359","153","Clusters of cases","0"
"The United Kingdom","305 293","958","42 647","15","Community transmission","0"
"Spain","246 504","232","28 324","1","Community transmission","0"
"Italy","238 720","221","34 657","23","Community transmission","0"
"Germany","190 862","503","8 895","10","Clusters of cases","0"
"Turkey","188 897","1 212","4 974","24","Community transmission","0"
"France","154 892","325","29 591","20","Community transmission","0"
"Belgium","60 550","0","9 696","0","Community transmission","2"
"Belarus","59 023","518","351","5","Community transmission","0"
