"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Cuba","2 238","5","84","0","Clusters of cases","0"
"Nicaragua","1 655","0","55","0","Community transmission","3"
"Costa Rica","1 612","74","12","0","Clusters of cases","0"
"Paraguay","1 261","7","11","0","Community transmission","0"
"Uruguay","847","0","23","0","Clusters of cases","2"
"Jamaica","614","3","10","0","Clusters of cases","0"
"Suriname","187","19","3","1","Clusters of cases","0"
"Guyana","159","1","12","0","Clusters of cases","0"
"Trinidad and Tobago","117","0","8","0","Sporadic cases","13"
"Bahamas","103","0","11","0","Clusters of cases","7"
"Barbados","96","0","7","0","Clusters of cases","3"
"Saint Vincent and the Grenadines","27","0","0","0","Sporadic cases","5"
"Antigua and Barbuda","26","1","3","0","Clusters of cases","0"
"Grenada","23","0","0","0","Clusters of cases","18"
"Belize","20","0","2","0","Sporadic cases","3"
"Saint Lucia","19","0","0","0","Sporadic cases","8"
"Dominica","18","0","0","0","Clusters of cases","1"
"Saint Kitts and Nevis","15","0","0","0","Sporadic cases","54"
"Territoriesii","","","","","",""
"Puerto Rico","5 690","154","146","0","Community transmission","0"
"French Guiana","1 161","118","2","0","Clusters of cases","0"
"Martinique","202","0","14","0","Clusters of cases","7"
"Cayman Islands","187","1","1","0","Clusters of cases","0"
"Guadeloupe","171","0","14","0","Clusters of cases","1"
