"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Croatia","2112","11","83","3","Community transmission","0"
"Azerbaijan","2060","76","26","0","Clusters of cases","0"
"Bosnia and Herzegovina","1968","42","82","5","Community transmission","0"
"Iceland","1799","0","10","0","Community transmission","2"
"Estonia","1711","8","55","0","Pending","0"
"Bulgaria","1689","37","78","0","Clusters of cases","0"
"North Macedonia","1526","8","86","1","Clusters of cases","0"
"Slovenia","1445","6","98","1","Community transmission","0"
"Lithuania","1423","4","46","0","Community transmission","0"
"Slovakia","1421","8","25","0","Clusters of cases","0"
"Latvia","896","0","17","1","Community transmission","1"
"Cyprus","878","4","20","0","Clusters of cases","0"
"Kyrgyzstan","871","28","12","2","Clusters of cases","0"
"Albania","832","12","31","0","Clusters of cases","0"
"Andorra","751","0","46","1","Community transmission","1"
"Georgia","610","6","9","0","Community transmission","0"
"San Marino","589","7","41","0","Community transmission","0"
"Malta","482","2","5","1","Pending","0"
"Montenegro","324","1","8","0","Clusters of cases","0"
"Tajikistan","293","63","7","0","Pending","0"
"Monaco","95","0","1","0","Sporadic cases","2"
"Liechtenstein","83","0","1","0","Pending","10"
"Holy See","11","0","0","0","Sporadic cases","5"
