"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","115","0","7","","0","Clusters of cases","3"
"Aruba","101","0","2","","0","Clusters of cases","1"
"Cayman Islands","78","3","1","","0","Clusters of cases","0"
"Sint Maarten","76","0","14","","0","Clusters of cases","6"
"United States Virgin Islands","66","0","4","","0","Clusters of cases","6"
"Saint Martin","38","0","3","","0","Sporadic cases","14"
"Curaçao","16","0","1","","0","Sporadic cases","9"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","11"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","9"
"Montserrat","11","0","1","","0","Sporadic cases","23"
"British Virgin Islands","7","0","1","","0","Sporadic cases","1"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","9"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","37"
"Anguilla","3","0","0","","0","Sporadic cases","33"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","29"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","101 650","1680","6418","","78","Community transmission","0"
"Saudi Arabia","31 938","1687","209","","9","Clusters of cases","0"
"Pakistan","24 073","1540","564","","38","Clusters of cases","0"
"Qatar","17 972","830","12","","0","Community transmission","0"
"United Arab Emirates","15 738","546","157","","11","Pending","0"
"Egypt","7588","387","469","","17","Clusters of cases","0"
"Kuwait","6289","485","42","","2","Clusters of cases","0"
