"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Finland","6 579","11","307","1","Pending","0"
"Azerbaijan","4 122","140","49","0","Clusters of cases","0"
"Luxembourg","3 992","2","110","1","Pending","0"
"Hungary","3 756","15","491","5","Community transmission","0"
"Uzbekistan","3 180","48","13","0","Clusters of cases","0"
"Tajikistan","2 929","191","46","2","Pending","0"
"Greece","2 878","2","171","0","Clusters of cases","0"
"Bulgaria","2 433","25","130","4","Clusters of cases","0"
"Bosnia and Herzegovina","2 391","20","141","1","Community transmission","0"
"Croatia","2 244","1","99","0","Community transmission","0"
"North Macedonia","1 978","37","113","0","Clusters of cases","0"
"Estonia","1 823","2","64","0","Pending","0"
"Iceland","1 804","0","10","0","Community transmission","1"
"Lithuania","1 623","7","63","0","Community transmission","0"
"Slovakia","1 509","5","28","0","Clusters of cases","0"
"Slovenia","1 509","31","107","1","Clusters of cases","0"
"Kyrgyzstan","1 433","30","16","2","Clusters of cases","0"
"Latvia","1 047","1","22","0","Clusters of cases","0"
"Albania","1 004","15","32","0","Clusters of cases","0"
"Cyprus","935","8","17","0","Clusters of cases","0"
"Andorra","763","0","51","0","Community transmission","1"
"Georgia","731","1","12","0","Community transmission","0"
"San Marino","672","0","42","0","Community transmission","3"
