"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Bulgaria","3 341","51","176","2","Clusters of cases","0"
"Greece","3 134","13","184","1","Clusters of cases","0"
"Bosnia and Herzegovina","3 039","38","164","1","Community transmission","0"
"Kyrgyzstan","2 472","100","29","2","Clusters of cases","0"
"Croatia","2 254","2","107","0","Sporadic cases","0"
"Estonia","1 974","1","69","0","Clusters of cases","0"
"Iceland","1 810","0","10","0","Community transmission","1"
"Lithuania","1 773","5","76","1","Community transmission","0"
"Albania","1 672","82","37","1","Clusters of cases","0"
"Slovakia","1 552","4","28","0","Clusters of cases","0"
"Slovenia","1 496","1","109","0","Clusters of cases","0"
"Latvia","1 097","0","28","0","Clusters of cases","2"
"Cyprus","985","2","18","0","Clusters of cases","0"
"Georgia","879","0","14","0","Community transmission","1"
"Andorra","853","0","51","0","Community transmission","3"
"San Marino","695","0","42","0","Community transmission","11"
"Malta","649","3","9","0","Sporadic cases","0"
"Montenegro","326","1","9","0","Clusters of cases","0"
"Monaco","99","0","1","0","Sporadic cases","9"
"Liechtenstein","83","0","1","0","Pending","51"
"Holy See","12","0","0","0","Sporadic cases","40"
"Territoriesii","","","","","",""
"Kosovo[1]","1 572","129","23","0","Community transmission","0"
"Isle of Man","336","0","24","0","Pending","25"
