"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Mauritania","8","0","1","","0","Sporadic cases","5"
"Comoros","4","0","1","","0","Pending","1"
"Territoriesii","","","","","","",""
"Mayotte","739","53","9","","3","Clusters of cases","0"
"Réunion","425","1","0","","0","Clusters of cases","0"
"Americas","","","","","","",""
"United States of America","1 171 185","16 200","62 698","","792","Community transmission","0"
"Brazil","107 780","6633","7321","","296","Community transmission","0"
"Canada","61 159","1315","3915","","149","Community transmission","0"
"Peru","47 372","1444","1344","","58","Community transmission","0"
"Ecuador","31 881","0","1569","","0","Community transmission","1"
"Mexico","24 905","1434","2271","","117","Community transmission","0"
"Chile","22 016","1373","275","","5","Community transmission","0"
"Dominican Republic","8480","245","354","","8","Community transmission","0"
"Colombia","7973","305","358","","18","Community transmission","0"
"Panama","7387","190","203","","3","Community transmission","0"
"Argentina","4922","123","262","","12","Community transmission","0"
"Cuba","1685","17","69","","0","Clusters of cases","0"
"Bolivia (Plurinational State of)","1681","87","82","","6","Clusters of cases","0"
"Honduras","1178","123","89","","7","Clusters of cases","0"
"Costa Rica","742","3","6","","0","Clusters of cases","0"
"Guatemala","730","27","19","","2","Clusters of cases","0"
"Uruguay","657","2","17","","0","Clusters of cases","0"
"El Salvador","587","32","13","","1","Clusters of cases","0"
